dataset,protein,cell,seed,pairs,comp,full,gain,published
AATF:K562,AATF,K562,5007,1081,0.6207318231568572,0.65862714911759,0.03789532596073286,0.0480770794164786
AKAP1:HepG2,AKAP1,HepG2,5007,5943,0.5780821953490574,0.6121828071712396,0.03410061182218227,0.0313997050163779
AQR:HepG2,AQR,HepG2,5007,11077,0.6008935343393719,0.7297805200848975,0.1288869857455256,0.1347963926118254
BCCIP:HepG2,BCCIP,HepG2,5007,539,0.6831588766388661,0.6896885250980136,0.006529648459147497,0.0133036854478677
BCLAF1:HepG2,BCLAF1,HepG2,5007,32385,0.5676090413772522,0.7089129151883832,0.14130387381113096,0.1403414503506233
BUD13:K562,BUD13,K562,5007,8850,0.5658571164097163,0.6926554566057008,0.12679834019598457,0.1119958504899615
CDC40:HepG2,CDC40,HepG2,5007,1172,0.6769269298419318,0.6899112103810178,0.012984280539085957,0.0047838355717595
CSTF2T:HepG2,CSTF2T,HepG2,5007,18326,0.7164880308278998,0.7402710253190399,0.023782994491140075,0.0228822643512053
DDX24:K562,DDX24,K562,5007,9600,0.5588145399305555,0.710786447482639,0.15197190755208345,0.1511693467881943
DDX55:HepG2,DDX55,HepG2,5007,1686,0.5988086242294015,0.6438090393429106,0.04500041511350905,0.0426877403612753
DDX55:K562,DDX55,K562,5007,1101,0.5756256594409672,0.6032943381501912,0.02766867870922396,0.0296007015338215
DDX59:HepG2,DDX59,HepG2,5007,3089,0.7256223353767025,0.7447722528828314,0.019149917506128933,0.0189394777005593
DDX6:HepG2,DDX6,HepG2,5007,493,0.6353163353891601,0.6670013042637493,0.03168496887458916,0.0623619105612448
DDX6:K562,DDX6,K562,5007,1955,0.5975055108221426,0.6507806725492377,0.05327516172709501,0.0516349317442977
DGCR8:K562,DGCR8,K562,5007,1253,0.5689750823084454,0.5780177056309869,0.009042623322541465,-0.0036031640582951
DHX30:K562,DHX30,K562,5007,824,0.6135018027146761,0.6125827717032708,-0.0009190310114053357,0.0016893086059006
DROSHA:HepG2,DROSHA,HepG2,5007,2184,0.6200256359940425,0.6494583903581156,0.02943275436407311,0.0442684223590814
DROSHA:K562,DROSHA,K562,5007,3913,0.6702646214767408,0.6990341747472124,0.028769553270471593,0.0241374403849583
EFTUD2:HepG2,EFTUD2,HepG2,5007,7364,0.6773906287203688,0.7144750981107792,0.037084469390410435,0.0369083057724314
EIF3H:HepG2,EIF3H,HepG2,5007,2832,0.5414089431916117,0.629995745754732,0.08858680256312035,0.0846127240336429
ELAC2:K562,ELAC2,K562,5007,12793,0.8501286828837115,0.870778447446524,0.020649764562812534,0.0201447139770831
ELAVL1:K562,ELAVL1,K562,5007,8796,0.695560024493336,0.7466363669169561,0.051076342423620136,0.0505506511537752
EXOSC5:HepG2,EXOSC5,HepG2,5007,727,0.6827421011902848,0.6884825619786238,0.005740460788339008,0.0005032836419572
FASTKD2:HepG2,FASTKD2,HepG2,5007,868,0.6181127758075133,0.6258494552867974,0.0077366794792840254,0.0090228078744504
FASTKD2:K562,FASTKD2,K562,5007,542,0.7430862869514303,0.7454180907122725,0.002331803760842188,0.0012765349055703
FKBP4:HepG2,FKBP4,HepG2,5007,1453,0.7089217599962865,0.7126963744470586,0.003774614450772096,0.008691228580401
FMR1:K562,FMR1,K562,5007,4445,0.5720899229553561,0.6593310313151238,0.08724110835976773,0.1055172771570033
FXR1:K562,FXR1,K562,5007,1425,0.569560110803324,0.6436845798707295,0.07412446906740544,0.0684203139427515
FXR2:K562,FXR2,K562,5007,4745,0.5680495580173683,0.6560206795240068,0.08797112150663844,0.09119066045896
G3BP1:HepG2,G3BP1,HepG2,5007,6482,0.5608190997384731,0.6811928382882805,0.12037373854980737,0.119416705754649
GARS:K562,GARS,K562,5007,566,0.620366092721847,0.6747961642672526,0.05443007154540569,0.0461143228158673
GEMIN5:K562,GEMIN5,K562,5007,2640,0.63033588728191,0.6750583964646465,0.04472250918273646,0.039915203168044
GRSF1:HepG2,GRSF1,HepG2,5007,1008,0.62300603111615,0.6346381723985891,0.011632141282439057,0.0086333144368858
GRWD1:HepG2,GRWD1,HepG2,5007,22078,0.5674079725785235,0.7212394384842526,0.15383146590572916,0.1552207397893841
GRWD1:K562,GRWD1,K562,5007,4375,0.5865243167346937,0.7265098187755101,0.1399855020408164,0.1354184097959183
GTF2F1:HepG2,GTF2F1,HepG2,5007,4466,0.7465301349360215,0.7711079823090881,0.024577847373066564,0.0208455074596239
HLTF:HepG2,HLTF,HepG2,5007,3645,0.5444703739455555,0.5997105228990612,0.05524014895350571,0.065413093833558
HNRNPC:K562,HNRNPC,K562,5007,516,0.6805856018268132,0.7083370891172407,0.027751487290427534,0.0514279490415238
HNRNPL:K562,HNRNPL,K562,5007,5837,0.7328677134802182,0.7821621353021725,0.049294421821954315,0.0482803703790581
HNRNPM:HepG2,HNRNPM,HepG2,5007,13420,0.6994489728834113,0.7654353723894537,0.06598639950604235,0.0679745795867126
HNRNPUL1:HepG2,HNRNPUL1,HepG2,5007,467,0.6002228448018928,0.6135430947915758,0.013320249989682953,0.0020450366593454
IGF2BP1:K562,IGF2BP1,K562,5007,5706,0.5692458323243782,0.6282754798172737,0.05902964749289552,0.0644477824426209
KHSRP:HepG2,KHSRP,HepG2,5007,5289,0.643259173559167,0.7357266537880591,0.09246748022889217,0.0911887709809573
KHSRP:K562,KHSRP,K562,5007,23187,0.6858317438360532,0.7531994977079042,0.06736775387185101,0.0696133583965924
LARP4:HepG2,LARP4,HepG2,5007,5429,0.5650869522777688,0.6327841167079872,0.06769716443021834,0.0641478377532284
LARP4:K562,LARP4,K562,5007,430,0.5757706868577609,0.5954029204975663,0.019632233639805374,0.0095078420767983
LIN28B:K562,LIN28B,K562,5007,6916,0.5714176371100819,0.6654554103927791,0.09403777328269725,0.0979798982485353
