dataset,protein,cell,seed,pairs,comp,full,gain,published
AATF:K562,AATF,K562,9007,1034,0.8486516467194685,0.8602767042414764,0.011625057522007931,0.0164462163406869
AKAP1:HepG2,AKAP1,HepG2,9007,5915,0.7194991886324222,0.7261213485779453,0.006622159945523065,0.0085749221100608
AQR:HepG2,AQR,HepG2,9007,10796,0.6358162238398506,0.7397268223750347,0.10391059853518414,0.1041183638316776
BCCIP:HepG2,BCCIP,HepG2,9007,538,0.904530755517475,0.9041990851425492,-0.00033167037492576323,0.0004422271665676
BCLAF1:HepG2,BCLAF1,HepG2,9007,32374,0.706153393039265,0.7777675239612135,0.07161413092194846,0.0695365757128636
BUD13:K562,BUD13,K562,9007,8785,0.6706814307126321,0.7357761149887806,0.0650946842761485,0.0697501223577486
CDC40:HepG2,CDC40,HepG2,9007,1150,0.8152491493383743,0.8240060491493385,0.00875689981096417,0.0075080315355221
CSTF2T:HepG2,CSTF2T,HepG2,9007,19111,0.7649598265418932,0.7844426585820075,0.01948283204011425,0.0207782269413213
DDX24:K562,DDX24,K562,9007,9584,0.648840916082313,0.7437075147505163,0.09486659866820335,0.0946443821281509
DDX55:HepG2,DDX55,HepG2,9007,1684,0.7800202125918946,0.7872363758949678,0.007216163303073175,0.0125837156266235
DDX55:K562,DDX55,K562,9007,1099,0.6810716334892917,0.6911030873463426,0.010031453857050954,0.0106603305785123
DDX59:HepG2,DDX59,HepG2,9007,3028,0.8681368216330541,0.8718055742179116,0.0036687525848575486,0.0036660316849574
DDX6:HepG2,DDX6,HepG2,9007,488,0.7789866635313087,0.7979037893039505,0.018917125772641707,0.0131611828404831
DDX6:K562,DDX6,K562,9007,1931,0.793261890477829,0.8065089181097959,0.013247027631966835,0.0110529478118189
DGCR8:K562,DGCR8,K562,9007,1227,0.6951257664249577,0.7007643160643203,0.005638549639362611,-0.0006035232140425
DHX30:K562,DHX30,K562,9007,785,0.7586709399975659,0.7614848472554668,0.0028139072579009827,0.010985324947589
DROSHA:HepG2,DROSHA,HepG2,9007,2141,0.7332428568717206,0.7510480747645937,0.017805217892873038,0.0173686447119305
DROSHA:K562,DROSHA,K562,9007,3710,0.8034581992284275,0.8122443167370189,0.008786117508591373,0.0097279185499778
EFTUD2:HepG2,EFTUD2,HepG2,9007,6951,0.7871695782970258,0.8043635948795109,0.017194016582485094,0.0203651424150549
EIF3H:HepG2,EIF3H,HepG2,9007,2825,0.6506226016132821,0.6812674445923722,0.030644842979090092,0.0395363872727099
ELAC2:K562,ELAC2,K562,9007,13060,0.9532403513997124,0.9585412831342678,0.00530093173455537,0.0053134338711342
ELAVL1:K562,ELAVL1,K562,9007,8821,0.9419964192025037,0.9486884861042549,0.006692066901751281,0.0064049959824592
EXOSC5:HepG2,EXOSC5,HepG2,9007,710,0.9192600674469352,0.9194326522515374,0.00017258480460213832,-0.0004720980232862
FASTKD2:HepG2,FASTKD2,HepG2,9007,798,0.7902070338754152,0.7952164245199465,0.005009390644531209,0.0015664470294346
FASTKD2:K562,FASTKD2,K562,9007,498,0.9359607103111242,0.9352994306543443,-0.0006612796567798673,-0.0003681257362515
FKBP4:HepG2,FKBP4,HepG2,9007,1324,0.8209832878487784,0.8235047142687636,0.0025214264199852066,0.0013495657733497
FMR1:K562,FMR1,K562,9007,4426,0.6381882292308381,0.7094154534812467,0.07122722425040862,0.0682712248628287
FXR1:K562,FXR1,K562,9007,1421,0.6564010932820797,0.6974254187588307,0.041024325476750945,0.0317897565791195
FXR2:K562,FXR2,K562,9007,4697,0.6410488369290117,0.6866314543834552,0.045582617454443475,0.049198340544389
G3BP1:HepG2,G3BP1,HepG2,9007,6476,0.6934754532438107,0.7597274881245372,0.0662520348807265,0.0671332930008148
GARS:K562,GARS,K562,9007,557,0.7317702877366243,0.7321602970517229,0.00039000931509858283,0.00147623360591
