dataset,protein,cell,seed,pairs,comp,full,gain,published
AATF:K562,AATF,K562,7,1032,0.8471564960038459,0.8610848206237606,0.013928324619914667,0.0164462163406869
AKAP1:HepG2,AKAP1,HepG2,7,5920,0.7147657391344048,0.721934521092038,0.007168781957633263,0.0085749221100608
AQR:HepG2,AQR,HepG2,7,10793,0.6363632711316428,0.7337788186060625,0.09741554747441972,0.1041183638316776
BCCIP:HepG2,BCCIP,HepG2,7,537,0.9118872000804524,0.9118178444978483,-6.935558260412478e-05,0.0004422271665676
BCLAF1:HepG2,BCLAF1,HepG2,7,32382,0.7056284115947253,0.7756798178815312,0.07005140628680584,0.0695365757128636
BUD13:K562,BUD13,K562,7,8784,0.6637376628229501,0.7358895675943344,0.07215190477138433,0.0697501223577486
CDC40:HepG2,CDC40,HepG2,7,1157,0.8062710986972688,0.8158068321120772,0.0095357334148084,0.0075080315355221
CSTF2T:HepG2,CSTF2T,HepG2,7,19121,0.7652883205425056,0.7856959218212589,0.020407601278753296,0.0207782269413213
DDX24:K562,DDX24,K562,7,9588,0.6511865843986251,0.7445059457578822,0.09331936135925711,0.0946443821281509
DDX55:HepG2,DDX55,HepG2,7,1684,0.7714347978176606,0.7837160984196659,0.012281300602005385,0.0125837156266235
DDX55:K562,DDX55,K562,7,1100,0.6749801652892562,0.685984297520661,0.01100413223140484,0.0106603305785123
DDX59:HepG2,DDX59,HepG2,7,3036,0.8685047111430511,0.873457682166223,0.004952971023171937,0.0036660316849574
DDX6:HepG2,DDX6,HepG2,7,490,0.7734277384423157,0.7920699708454811,0.018642232403165426,0.0131611828404831
DDX6:K562,DDX6,K562,7,1934,0.7834361221231348,0.8016081891670205,0.01817206704388563,0.0110529478118189
DGCR8:K562,DGCR8,K562,7,1229,0.6868470863807324,0.6895661598169013,0.0027190734361688396,-0.0006035232140425
DHX30:K562,DHX30,K562,7,783,0.7530537980619453,0.7617915180340864,0.008737719972141123,0.010985324947589
DROSHA:HepG2,DROSHA,HepG2,7,2131,0.7377437179611117,0.7610243283600824,0.02328061039897067,0.0173686447119305
DROSHA:K562,DROSHA,K562,7,3712,0.8049429622473245,0.8138501034622101,0.008907141214885561,0.0097279185499778
EFTUD2:HepG2,EFTUD2,HepG2,7,6961,0.7873372159180788,0.80809076431146,0.02075354839338117,0.0203651424150549
EIF3H:HepG2,EIF3H,HepG2,7,2827,0.64186643800264,0.6800938797128953,0.03822744171025527,0.0395363872727099
ELAC2:K562,ELAC2,K562,7,13056,0.9529587372776547,0.9582711366083659,0.005312399330711259,0.0053134338711342
ELAVL1:K562,ELAVL1,K562,7,8821,0.9415679526502242,0.9479607779669464,0.00639282531672225,0.0064049959824592
EXOSC5:HepG2,EXOSC5,HepG2,7,708,0.9246824028855054,0.92433727536787,-0.00034512751763537963,-0.0004720980232862
FASTKD2:HepG2,FASTKD2,HepG2,7,804,0.8061975569911635,0.8080059899507438,0.0018084329595803306,0.0015664470294346
FASTKD2:K562,FASTKD2,K562,7,488,0.928207303144316,0.9290135380274119,0.0008062348830959465,-0.0003681257362515
FKBP4:HepG2,FKBP4,HepG2,7,1325,0.8338409398362407,0.8351265218939123,0.001285582057671597,0.0013495657733497
FMR1:K562,FMR1,K562,7,4431,0.6446308987870435,0.7121586129117086,0.06752771412466507,0.0682712248628287
FXR1:K562,FXR1,K562,7,1423,0.6600349938195363,0.6929951618056732,0.03296016798613688,0.0317897565791195
FXR2:K562,FXR2,K562,7,4698,0.6406485119706201,0.6955891939560706,0.054940681985450435,0.049198340544389
G3BP1:HepG2,G3BP1,HepG2,7,6476,0.6893326087180451,0.7547683545573888,0.06543574583934364,0.0671332930008148
GARS:K562,GARS,K562,7,553,0.7479799482683636,0.7534245231500707,0.0054445748817071316,0.00147623360591
GEMIN5:K562,GEMIN5,K562,7,2460,0.7577876925110714,0.7753518077863705,0.017564115275299108,0.0138907318931444
GRSF1:HepG2,GRSF1,HepG2,7,991,0.8502822068648105,0.8496060915545662,-0.0006761153102442519,-0.0003040327264464
GRWD1:HepG2,GRWD1,HepG2,7,22071,0.6985662860531445,0.7775668480418106,0.07900056198866612,0.0797572655394761
GRWD1:K562,GRWD1,K562,7,4373,0.7717996882204788,0.820168184819545,0.04836849659906617,0.0482972739450746
GTF2F1:HepG2,GTF2F1,HepG2,7,4151,0.869065053911307,0.8825169532165105,0.013451899305203519,0.0105890647673584
HLTF:HepG2,HLTF,HepG2,7,3642,0.652468711936915,0.6732289347447756,0.020760222807860607,0.0243697228110265
HNRNPC:K562,HNRNPC,K562,7,516,0.9479748813172285,0.9546301304008172,0.006655249083588721,0.0066514932996816
HNRNPL:K562,HNRNPL,K562,7,5836,0.8730334946852065,0.8928497564924006,0.01981626180719409,0.0199610110674168
HNRNPM:HepG2,HNRNPM,HepG2,7,13379,0.936803798436651,0.9499182952919475,0.013114496855296531,0.0127465734137508
HNRNPUL1:HepG2,HNRNPUL1,HepG2,7,462,0.805888195498585,0.807490489308671,0.0016022938100859196,0.0047534858118478
IGF2BP1:K562,IGF2BP1,K562,7,5706,0.6859930556860901,0.7268132597032608,0.04082020401717068,0.040803342027854
KHSRP:HepG2,KHSRP,HepG2,7,5277,0.8628469074410857,0.8918615540087311,0.029014646567645408,0.0286301939853076
KHSRP:K562,KHSRP,K562,7,23198,0.8955128530222746,0.9155455781202945,0.0200327250980199,0.0200397845047615
LARP4:HepG2,LARP4,HepG2,7,5420,0.6498610108794814,0.6832208847918738,0.03335987391239237,0.0330452593355056
LARP4:K562,LARP4,K562,7,430,0.7424391563007031,0.7448350459707952,0.0023958896700920773,0.0023904813412654
LIN28B:K562,LIN28B,K562,7,6916,0.7304572995419546,0.7637881128946851,0.03333081335273047,0.0333518248060422
LSM11:K562,LSM11,K562,7,1309,0.7410166789126928,0.7726009217493511,0.03158424283665828,0.034320806133716
MATR3:HepG2,MATR3,HepG2,7,6984,0.9181265368133216,0.9273892608731593,0.009262724059837746,0.0097963238506868
MATR3:K562,MATR3,K562,7,4864,0.9565353182214119,0.9614557493426463,0.004920431121234414,0.0049633332566869
MBNL1:K562,MBNL1,K562,7,1190,0.777863851422922,0.8054699526869571,0.027606101264035066,0.0338192918809568
METTL1:K562,METTL1,K562,7,481,0.7281304973612667,0.7396881929106461,0.011557695549379465,0.0115576955493794
MORC2:K562,MORC2,K562,7,798,0.796968926074585,0.8017710315889975,0.0048021055144125135,0.0042962873286098
MTPAP:K562,MTPAP,K562,7,1074,0.7228837010913101,0.7371527452673483,0.014269044176038248,0.0179140274965105
NCBP2:HepG2,NCBP2,HepG2,7,3170,0.7885668083073769,0.8060382728457841,0.0174714645384072,0.0201699486414392
NKRF:HepG2,NKRF,HepG2,7,3403,0.8760385751487707,0.8788342449735582,0.0027956698247875167,0.0023717126169499
NOLC1:K562,NOLC1,K562,7,1566,0.7858732582055787,0.7921774000185943,0.006304141813015529,0.006180439008279
NONO:K562,NONO,K562,7,11030,0.8100533778724306,0.8385186695150207,0.02846529164259015,0.0276902866754107
PCBP1:HepG2,PCBP1,HepG2,7,924,0.8405776222334662,0.8375077303648732,-0.0030698918685929666,0.0025526017883275
PCBP2:HepG2,PCBP2,HepG2,7,8562,0.950380153043377,0.9582683130061771,0.007888159962800123,0.0079321634062289
PHF6:K562,PHF6,K562,7,667,0.7998781718585983,0.8028901591183418,0.0030119872597434982,0.0081010818948916
PPIL4:K562,PPIL4,K562,7,657,0.7056867964480399,0.708737886569875,0.0030510901218351316,-0.003060300625456
PRPF4:HepG2,PRPF4,HepG2,7,8647,0.8829769194470517,0.8891097971396755,0.006132877692623828,0.0057320510616081
