dataset,protein,cell,seed,pairs,comp,full,gain,published
AATF:K562,AATF,K562,6007,1029,0.8437772998967739,0.8561342071189159,0.012356907222142,0.0164462163406869
AKAP1:HepG2,AKAP1,HepG2,6007,5913,0.7160577342662015,0.7249117216837904,0.008853987417588915,0.0085749221100608
AQR:HepG2,AQR,HepG2,6007,10800,0.6370317386831276,0.7340463048696846,0.09701456618655702,0.1041183638316776
BCCIP:HepG2,BCCIP,HepG2,6007,535,0.8991283081491833,0.8984051008821731,-0.0007232072670102507,0.0004422271665676
BCLAF1:HepG2,BCLAF1,HepG2,6007,32376,0.7058125305779772,0.7761133138855414,0.07030078330756417,0.0695365757128636
BUD13:K562,BUD13,K562,6007,8772,0.6664816845623922,0.7338812281293816,0.0673995435669894,0.0697501223577486
CDC40:HepG2,CDC40,HepG2,6007,1151,0.8097653911795054,0.81822854904246,0.008463157862954596,0.0075080315355221
CSTF2T:HepG2,CSTF2T,HepG2,6007,19107,0.7669255462558028,0.7872113705933121,0.02028582433750936,0.0207782269413213
DDX24:K562,DDX24,K562,6007,9581,0.6450956381213249,0.7450445779180979,0.099948939796773,0.0946443821281509
DDX55:HepG2,DDX55,HepG2,6007,1683,0.766404035461391,0.7735578143463221,0.007153778884931072,0.0125837156266235
DDX55:K562,DDX55,K562,6007,1098,0.6729473359411549,0.688950932478658,0.016003596537503162,0.0106603305785123
DDX59:HepG2,DDX59,HepG2,6007,3030,0.865813918025466,0.8696867409513228,0.003872822925856778,0.0036660316849574
DDX6:HepG2,DDX6,HepG2,6007,486,0.7739885518806415,0.7947721383935376,0.020783586512896024,0.0131611828404831
DDX6:K562,DDX6,K562,6007,1935,0.7872822813799918,0.7989223404042224,0.011640059024230598,0.0110529478118189
DGCR8:K562,DGCR8,K562,6007,1225,0.6973247813411078,0.6966917117867556,-0.0006330695543521614,-0.0006035232140425
DHX30:K562,DHX30,K562,6007,782,0.7377044891124469,0.7525837088977703,0.014879219785323361,0.010985324947589
DROSHA:HepG2,DROSHA,HepG2,6007,2136,0.7393913331650044,0.7607756806800487,0.021384347515044366,0.0173686447119305
DROSHA:K562,DROSHA,K562,6007,3719,0.7994396774020258,0.8087526239138407,0.009312946511814912,0.0097279185499778
EFTUD2:HepG2,EFTUD2,HepG2,6007,6945,0.7870748309897627,0.8071010681996411,0.020026237209878395,0.0203651424150549
EIF3H:HepG2,EIF3H,HepG2,6007,2824,0.6410050638396906,0.6807046190483833,0.03969955520869273,0.0395363872727099
ELAC2:K562,ELAC2,K562,6007,13056,0.9533732061155116,0.9580458920078067,0.004672685892295081,0.0053134338711342
ELAVL1:K562,ELAVL1,K562,6007,8820,0.9423600120320237,0.9492697872799912,0.006909775247967542,0.0064049959824592
EXOSC5:HepG2,EXOSC5,HepG2,6007,706,0.9163302811193413,0.915353224887448,-0.0009770562318933695,-0.0004720980232862
FASTKD2:HepG2,FASTKD2,HepG2,6007,804,0.8134235538724289,0.8160921140565827,0.0026685601841537343,0.0015664470294346
FASTKD2:K562,FASTKD2,K562,6007,498,0.9297269398880663,0.9297632296253286,3.6289737262329425e-05,-0.0003681257362515
FKBP4:HepG2,FKBP4,HepG2,6007,1318,0.8336750859466566,0.8337338036893163,5.8717742659641914e-05,0.0013495657733497
FMR1:K562,FMR1,K562,6007,4423,0.6468356553356606,0.7120267624546407,0.06519110711898013,0.0682712248628287
FXR1:K562,FXR1,K562,6007,1422,0.6600032441777889,0.6967954842627705,0.03679224008498161,0.0317897565791195
FXR2:K562,FXR2,K562,6007,4700,0.644305522861023,0.6995896333182436,0.05528411045722059,0.049198340544389
G3BP1:HepG2,G3BP1,HepG2,6007,6477,0.6854598315117431,0.7490986562134601,0.063638824701717,0.0671332930008148
GARS:K562,GARS,K562,6007,556,0.7353009678588065,0.7372645049428084,0.001963537084001876,0.00147623360591
GEMIN5:K562,GEMIN5,K562,6007,2454,0.7583673247077937,0.7706380946497876,0.012270769941993942,0.0138907318931444
GRSF1:HepG2,GRSF1,HepG2,6007,986,0.8501526441170297,0.8514404502795732,0.0012878061625434256,-0.0003040327264464
GRWD1:HepG2,GRWD1,HepG2,6007,22065,0.6985980598595019,0.779292795645439,0.08069473578593711,0.0797572655394761
GRWD1:K562,GRWD1,K562,6007,4373,0.7671093993038484,0.823309145694724,0.05619974639087566,0.0482972739450746
GTF2F1:HepG2,GTF2F1,HepG2,6007,4168,0.8725366999642649,0.8862044376125935,0.013667737648328626,0.0105890647673584
HLTF:HepG2,HLTF,HepG2,6007,3639,0.6506791369881458,0.679175576547344,0.028496439559198117,0.0243697228110265
HNRNPC:K562,HNRNPC,K562,6007,516,0.9487711075055585,0.9573643410852714,0.008593233579712867,0.0066514932996816
HNRNPL:K562,HNRNPL,K562,6007,5829,0.8719513747452302,0.893828077447489,0.021876702702258832,0.0199610110674168
HNRNPM:HepG2,HNRNPM,HepG2,6007,13377,0.9371547976295999,0.9494297071908966,0.012274909561296732,0.0127465734137508
HNRNPUL1:HepG2,HNRNPUL1,HepG2,6007,462,0.820233878675437,0.8166123198590731,-0.0036215588163638346,0.0047534858118478
IGF2BP1:K562,IGF2BP1,K562,6007,5706,0.6899521217788226,0.7229767732086393,0.0330246514298167,0.040803342027854
KHSRP:HepG2,KHSRP,HepG2,6007,5276,0.8622080489791414,0.8905445561200648,0.028336507140923395,0.0286301939853076
KHSRP:K562,KHSRP,K562,6007,23198,0.8971100089558395,0.915952338572403,0.018842329616563513,0.0200397845047615
LARP4:HepG2,LARP4,HepG2,6007,5417,0.6431813111070588,0.6711994787057707,0.028018167598711896,0.0330452593355056
LARP4:K562,LARP4,K562,6007,430,0.7215575987020012,0.7236073553272038,0.00204975662520257,0.0023904813412654
LIN28B:K562,LIN28B,K562,6007,6915,0.7275291278404382,0.7650759951042747,0.03754686726383649,0.0333518248060422
LSM11:K562,LSM11,K562,6007,1304,0.7484874289585607,0.7883647295720576,0.039877300613496924,0.034320806133716
MATR3:HepG2,MATR3,HepG2,6007,6984,0.9218193786747386,0.9319781739705482,0.010158795295809542,0.0097963238506868
MATR3:K562,MATR3,K562,6007,4862,0.9538007120761737,0.958991108100649,0.005190396024475352,0.0049633332566869
MBNL1:K562,MBNL1,K562,6007,1188,0.7853861283995964,0.8189016993730799,0.033515570973483455,0.0338192918809568
METTL1:K562,METTL1,K562,6007,481,0.7204628264919324,0.7189802948638707,-0.0014825316280616674,0.0115576955493794
MORC2:K562,MORC2,K562,6007,800,0.7798578125,0.7786828124999999,-0.0011750000000000371,0.0042962873286098
MTPAP:K562,MTPAP,K562,6007,1073,0.731022149185854,0.7531200899134824,0.022097940727628496,0.0179140274965105
NCBP2:HepG2,NCBP2,HepG2,6007,3172,0.7782389929855975,0.7990039142942106,0.02076492130861307,0.0201699486414392
NKRF:HepG2,NKRF,HepG2,6007,3404,0.8711102822282765,0.8736848437105168,0.002574561482240334,0.0023717126169499
NOLC1:K562,NOLC1,K562,6007,1566,0.7727748336701523,0.7810024319470745,0.00822759827692221,0.006180439008279
NONO:K562,NONO,K562,6007,11025,0.8144238912798679,0.8413903671823983,0.02696647590253043,0.0276902866754107
PCBP1:HepG2,PCBP1,HepG2,6007,924,0.8439251044770526,0.8467560577950188,0.002830953317966234,0.0025526017883275
PCBP2:HepG2,PCBP2,HepG2,6007,8571,0.9508388284501924,0.95843506444369,0.007596235993497569,0.0079321634062289
PHF6:K562,PHF6,K562,6007,664,0.7985329873711714,0.8093223798809697,0.010789392509798268,0.0081010818948916
