dataset,protein,cell,auroc_dn,n_dn,auroc_gc,n_gc,auroc_neg2,n_neg2
NONO:K562,NONO,K562,0.7178829973957913,22686,0.8380897032240473,22328,0.8740897091934829,22328
PCBP1:HepG2,PCBP1,HepG2,0.6228021729289273,1880,0.8198903644206939,1858,0.8742632157684282,1858
PCBP2:HepG2,PCBP2,HepG2,0.8461212364169367,17040,0.9521736349204587,17178,0.9521735942540287,17178
PHF6:K562,PHF6,K562,0.6124527715956731,1390,0.7642020587514444,1352,0.7396581002065754,1352
PPIL4:K562,PPIL4,K562,0.5577149357213417,1318,0.6155754289040196,1316,0.739969142931052,1316
PRPF4:HepG2,PRPF4,HepG2,0.775237032227005,18310,0.889229415322906,17734,0.9295670418110247,17734
PTBP1:HepG2,PTBP1,HepG2,0.8584063693700581,16002,0.9695472691003151,16698,0.9585416140616474,16698
PTBP1:K562,PTBP1,K562,0.83692641604702,15246,0.9619857366136895,15570,0.9602135754206766,15570
PUM1:K562,PUM1,K562,0.6974935753388126,5316,0.7738195774183133,5302,0.7912668557348166,5302
QKI:HepG2,QKI,HepG2,0.8689437585733881,19980,0.9144391471608142,19976,0.9603609333202247,19976
QKI:K562,QKI,K562,0.9153181080451053,4378,0.9580232238062274,4378,0.9761755744960944,4378
RBFOX2:K562,RBFOX2,K562,0.7140023617174691,7038,0.8399952184234705,6968,0.8277148710654973,6968
RBM15:HepG2,RBM15,HepG2,0.6361737777777778,3000,0.7161803082839364,2986,0.7504213680363241,2986
RPS3:HepG2,RPS3,HepG2,0.6813102966660631,11316,0.7160293194350371,11294,0.8083966284010695,11294
RPS3:K562,RPS3,K562,0.6974555949256219,4744,0.7363961939081932,4738,0.7380025270123219,4738
SAFB2:K562,SAFB2,K562,0.5854598126232742,7488,0.7975375986193293,7488,0.8983212170812332,7488
SLTM:K562,SLTM,K562,0.6616845340027628,7278,0.7498267503692808,7148,0.8717344440933696,7148
SMNDC1:K562,SMNDC1,K562,0.6684013511678715,4930,0.7427349990922294,4896,0.7486737205775557,4896
SND1:K562,SND1,K562,0.7040324776096465,8264,0.746073319301866,8260,0.7318056622246716,8260
SRSF1:HepG2,SRSF1,HepG2,0.7300330051523204,3582,0.8529493459728581,3574,0.8822848220797535,3574
SRSF1:K562,SRSF1,K562,0.7763248454706395,7728,0.8620397991027361,7722,0.8923288765298607,7722
STAU2:HepG2,STAU2,HepG2,0.6044077073691705,1696,0.7305772930642459,1684,0.7477502383759964,1684
SUB1:HepG2,SUB1,HepG2,0.6398688378484718,6594,0.8158641653018663,6592,0.7954665371088228,6592
TAF15:HepG2,TAF15,HepG2,0.6658087836371528,1536,0.9204186333550348,1536,0.8881412082248263,1536
