dataset,n,se_delong,ratio_clustering_10kb,ratio_clustering_100kb,ratio_clustering_1000kb,ratio_fitting
AATF:K562,2086,0.0036270291740789773,1.3084987425771686,1.2742799486890544,1.2707741866516844,0.9434014286121871
AKAP1:HepG2,11850,0.001550918810382482,1.09555539121485,1.1301315132064826,1.1683812178601582,1.6860768273912798
AQR:HepG2,21858,0.0034484045266661486,1.1814290036524444,1.2109346486865367,1.2062831013951538,0.9466654304594659
BCCIP:HepG2,1076,0.0014640905146098696,1.1012076384035323,1.0843477098192007,1.063083096571159,1.139939486309793
BCLAF1:HepG2,64768,0.0015218479365103495,1.0941239525946007,1.177489813624301,1.1195406280909472,0.9788944583293961
BUD13:K562,17608,0.0032576489850823904,1.0570243573772269,1.0479999814279661,1.1606908091173063,0.7778525095037377
CDC40:HepG2,2316,0.0025020025005659152,1.0254774501857682,1.1722005584388646,1.0725051501022462,1.3424648391706702
CSTF2T:HepG2,39066,0.0011525582735773165,1.2119000790175012,1.3549997402973342,1.554195636142991,1.2024537832153481
DDX24:K562,19180,0.0035195490460432407,1.0877485951958161,1.1687190296511318,1.1807811749580683,1.199669864010153
DDX55:HepG2,3370,0.002724540754301402,1.0675129206592493,1.0104372688274854,1.0025088734368854,0.7101935936552387
DDX55:K562,2200,0.004343913344828528,0.9889403770915783,1.0293109919234145,1.017972932220047,1.2106600610201539
DDX59:HepG2,6104,0.0010151210709501907,1.0724094219833427,1.1005952982436102,1.1343891675777358,1.0919861480561401
DDX6:HepG2,980,0.0053967948183164475,1.176217627601395,1.1493049009804084,1.2031810620759584,1.2887565075489533
DDX6:K562,3878,0.0025212523123989638,1.0373105222213617,1.035524104989332,1.0675043283418943,0.9081794799070156
DGCR8:K562,2472,0.0010668098599754228,1.1806411409256934,1.2558214184060643,1.1771029690863908,0.874942506398959
DHX30:K562,1590,0.005000279828187758,1.1529141941641767,1.1971420688348124,1.2436525564929397,1.1722928155525847
DROSHA:HepG2,4304,0.003283074688978996,1.2781235903186587,1.2676969060085816,1.24586739422015,0.8783432107334502
DROSHA:K562,7572,0.0016013155223229345,1.2912650453815728,1.32292031807903,1.3748874330830294,0.9402284668561478
