dataset,protein,cell,region_auroc_dn,region_tv_dn,region_auroc_gc,region_tv_gc,region_auroc_neg2,region_tv_neg2,region_auroc_built,region_tv_built,retained_built,comp_built,full_built,gain_built,region_auroc_matched,region_tv_matched,retained,comp_matched,full_matched,gain_matched
TAF15:HepG2,TAF15,HepG2,0.5,0.0,0.5,0.0,0.7733052571614583,0.51953125,0.5,0.0,1.0,0.928131103515625,0.9279869927300348,-0.0001441107855901791,0.5044789255401235,0.008005401234567923,0.7109375,0.9276178305041154,0.9276057741769549,-1.2056327160503422e-05
TIA1:HepG2,TIA1,HepG2,0.5,0.0,0.5,0.0,0.8082171549798106,0.5668016194331984,0.5,0.0,1.0,0.8947686206217149,0.900644635568991,0.005876014947276076,0.5043948263207173,0.006102700697933198,0.6289762868710237,0.8713375366667788,0.8741308255115193,0.0027932888447405047
TIA1:K562,TIA1,K562,0.5,0.0,0.5,0.0,0.6967474154323512,0.29548962442119703,0.5,0.0,1.0,0.7671485185200326,0.7779049292745494,0.010756410754516721,0.5026521824786585,0.004267844306339039,0.7282627336648946,0.774167088752427,0.7810868256286093,0.006919736876182303
TRA2A:HepG2,TRA2A,HepG2,0.5,0.0,0.5,0.0,0.7421739130434784,0.40543478260869564,0.5,0.0,1.0,0.91117202268431,0.9142036862003782,0.003031663516068206,0.5082812661365279,0.01294020448208199,0.7288043478260869,0.9138309408241247,0.9144867293194259,0.0006557884953011239
U2AF1:K562,U2AF1,K562,0.5,0.0,0.5,0.0,0.6263376060369124,0.22945484133441824,0.5,0.0,1.0,0.8271571018000704,0.8339140688050708,0.006756967005000392,0.5011452115604361,0.0019981094518549125,0.7615947925142392,0.8268224998006953,0.8327080014223402,0.005885501621644917
U2AF2:HepG2,U2AF2,HepG2,0.5,0.0,0.5,0.0,0.5427220168437282,0.06701560893541451,0.5,0.0,1.0,0.8773318457871255,0.8876847983841438,0.010352952597018295,0.5011640727460925,0.0021342906737495254,0.7429666323955509,0.876582778389533,0.8860617990032772,0.009479020613744171
UCHL5:HepG2,UCHL5,HepG2,0.5,0.0,0.5,0.0,0.7696862855637757,0.4513670999551771,0.5,0.0,1.0,0.6769153372640642,0.677764984295895,0.0008496470318308802,0.505611537498553,0.010662150716274807,0.6969968623935455,0.6902147779071304,0.6907583645283722,0.0005435866212418761
XPO5:HepG2,XPO5,HepG2,0.5,0.0,0.5,0.0,0.7031526974370768,0.37283300416940973,0.5,0.0,1.0,0.7967310321666663,0.822218446865392,0.02548741469872573,0.5035462814624265,0.00582727963458367,0.7657450076804916,0.7948269529169649,0.8166737247095105,0.021846771792545572
YBX3:HepG2,YBX3,HepG2,0.5,0.0,0.5,0.0,0.6427753349332318,0.22292993630573246,0.5,0.0,1.0,0.7449984768396811,0.7410104134233995,-0.003988063416281662,0.5335372011175483,0.060618017660853285,0.7567368936795689,0.7281151471176754,0.7197040815944884,-0.008411065523187045
YBX3:K562,YBX3,K562,0.5,0.0,0.5,0.0,0.7675089190474277,0.5120974470215252,0.5,0.0,1.0,0.7619243852673093,0.783676183931652,0.021751798664342625,0.5016576315355163,0.002841055913137238,0.7120529506646643,0.7614671907753946,0.7798179624862885,0.018350771710893943
