dataset,protein,cell,arm,pairs,gc_gap_median,gc_gap_p90,gc_gap_max,dinuc_l1_median,dinuc_l1_p90,dinuc_l1_max
QKI:K562,QKI,K562,dn,2189,0.019799999999999984,0.049500000000000044,0.12880000000000003,0.20000000000000004,0.3,0.9199999999999999
QKI:K562,QKI,K562,neg2,2189,0.1584,0.35649999999999993,0.6337,0.74,1.1,1.7399999999999998
RBFOX2:K562,RBFOX2,K562,gc,3484,0.029700000000000004,0.04959999999999998,0.14850000000000008,0.52,0.8,1.6600000000000001
RBFOX2:K562,RBFOX2,K562,dn,3519,0.029700000000000004,0.06930000000000003,0.2872,0.24,0.38,1.0
RBFOX2:K562,RBFOX2,K562,neg2,3484,0.14849999999999997,0.3268,0.5743,0.7000000000000001,1.06,1.6400000000000001
RBM15:HepG2,RBM15,HepG2,gc,1493,0.029700000000000004,0.04949999999999999,0.14850000000000008,0.48,0.6799999999999999,1.1600000000000001
RBM15:HepG2,RBM15,HepG2,dn,1500,0.01980000000000004,0.059399999999999904,0.15839999999999999,0.21999999999999997,0.28,0.48
RBM15:HepG2,RBM15,HepG2,neg2,1493,0.13860000000000006,0.31689999999999996,0.5149,0.66,0.9759999999999991,1.5
RPS3:HepG2,RPS3,HepG2,gc,5647,0.02969999999999995,0.04949999999999999,0.14850000000000008,0.45999999999999996,0.64,1.5000000000000002
RPS3:HepG2,RPS3,HepG2,dn,5658,0.01980000000000004,0.04949999999999999,0.13860000000000006,0.2,0.26,0.56
RPS3:HepG2,RPS3,HepG2,neg2,5647,0.13859999999999995,0.30700000000000005,0.5941000000000001,0.64,0.98,1.78
RPS3:K562,RPS3,K562,gc,2369,0.02969999999999995,0.04949999999999999,0.14849999999999997,0.46,0.6400000000000001,1.2
RPS3:K562,RPS3,K562,dn,2372,0.01980000000000004,0.05939999999999995,0.13860000000000006,0.2,0.26,0.54
RPS3:K562,RPS3,K562,neg2,2369,0.12870000000000004,0.29710000000000003,0.5841999999999999,0.6399999999999999,0.98,1.56
SAFB2:K562,SAFB2,K562,gc,3744,0.029700000000000004,0.04949999999999999,0.11880000000000002,0.49999999999999994,0.72,1.52
SAFB2:K562,SAFB2,K562,dn,3744,0.01980000000000004,0.04949999999999999,0.16840000000000005,0.2,0.26,0.82
SAFB2:K562,SAFB2,K562,neg2,3744,0.12869999999999998,0.28719999999999996,0.5347,0.66,1.0,1.6800000000000002
SLTM:K562,SLTM,K562,gc,3574,0.02970000000000006,0.07919999999999994,0.14850000000000008,0.5,0.72,1.44
SLTM:K562,SLTM,K562,dn,3639,0.02970000000000006,0.07920000000000005,0.24749999999999994,0.24,0.34,0.76
SLTM:K562,SLTM,K562,neg2,3574,0.15849999999999997,0.33670000000000005,0.6535,0.7,1.06,1.7000000000000002
SMNDC1:K562,SMNDC1,K562,gc,2448,0.029700000000000004,0.0495000000000001,0.14850000000000008,0.48,0.68,1.3599999999999999
SMNDC1:K562,SMNDC1,K562,dn,2465,0.02969999999999995,0.05940000000000001,0.17830000000000001,0.22,0.30000000000000004,0.66
SMNDC1:K562,SMNDC1,K562,neg2,2448,0.1387,0.32680000000000003,0.5347,0.66,1.02,1.62
SND1:K562,SND1,K562,gc,4130,0.02969999999999995,0.04949999999999999,0.14849999999999997,0.45999999999999996,0.6599999999999999,1.6
SND1:K562,SND1,K562,dn,4132,0.01980000000000004,0.049500000000000044,0.2278,0.2,0.26,0.96
SND1:K562,SND1,K562,neg2,4130,0.11889999999999995,0.28719999999999996,0.5446,0.62,0.9600000000000001,1.6
SRSF1:HepG2,SRSF1,HepG2,gc,1787,0.02969999999999995,0.04949999999999999,0.14849999999999997,0.4800000000000001,0.76,1.3599999999999999
SRSF1:HepG2,SRSF1,HepG2,dn,1791,0.01980000000000004,0.05940000000000001,0.1387,0.21999999999999997,0.30000000000000004,0.68
SRSF1:HepG2,SRSF1,HepG2,neg2,1787,0.1387,0.31690000000000007,0.5446,0.7,1.04,1.6199999999999999
SRSF1:K562,SRSF1,K562,gc,3861,0.02969999999999995,0.04949999999999999,0.13860000000000006,0.49999999999999994,0.72,1.6600000000000001
SRSF1:K562,SRSF1,K562,dn,3864,0.01980000000000004,0.04960000000000003,0.1684,0.21999999999999997,0.28,0.6
SRSF1:K562,SRSF1,K562,neg2,3861,0.1386,0.31690000000000007,0.5644,0.68,1.04,1.6800000000000002
STAU2:HepG2,STAU2,HepG2,gc,842,0.02970000000000006,0.04958999999999999,0.14849999999999997,0.5,0.8799999999999999,1.54
STAU2:HepG2,STAU2,HepG2,dn,848,0.02969999999999995,0.06929999999999992,0.18810000000000004,0.24,0.44,1.1400000000000001
STAU2:HepG2,STAU2,HepG2,neg2,842,0.12869999999999993,0.2772899999999999,0.5644,0.6799999999999999,1.06,1.6600000000000001
SUB1:HepG2,SUB1,HepG2,gc,3296,0.029700000000000004,0.04949999999999999,0.13859999999999995,0.46,0.6600000000000001,1.16
SUB1:HepG2,SUB1,HepG2,dn,3297,0.01980000000000004,0.049500000000000044,0.14849999999999997,0.2,0.27999999999999997,0.6
SUB1:HepG2,SUB1,HepG2,neg2,3296,0.1386,0.31689999999999996,0.5841999999999999,0.6599999999999999,1.0,1.72
TAF15:HepG2,TAF15,HepG2,gc,768,0.029700000000000004,0.04949999999999999,0.12870000000000004,0.5599999999999999,0.8,1.2799999999999998
TAF15:HepG2,TAF15,HepG2,dn,768,0.01980000000000004,0.05940000000000001,0.1981,0.22000000000000003,0.30000000000000004,0.6000000000000001
TAF15:HepG2,TAF15,HepG2,neg2,768,0.11880000000000002,0.24760000000000001,0.4654,0.66,0.98,1.54
TIA1:HepG2,TIA1,HepG2,gc,1729,0.029700000000000004,0.04949999999999999,0.08910000000000001,0.5,0.72,1.18
TIA1:HepG2,TIA1,HepG2,dn,1729,0.01980000000000004,0.05939999999999998,0.13860000000000006,0.21999999999999997,0.29999999999999993,0.5
TIA1:HepG2,TIA1,HepG2,neg2,1729,0.14860000000000007,0.3565,0.5841999999999999,0.7000000000000001,1.04,1.6400000000000001
TIA1:K562,TIA1,K562,gc,5831,0.029700000000000004,0.04949999999999999,0.14850000000000008,0.5,0.74,1.6600000000000001
TIA1:K562,TIA1,K562,dn,5883,0.01980000000000004,0.05940000000000001,0.2277,0.21999999999999997,0.30000000000000004,0.78
TIA1:K562,TIA1,K562,neg2,5831,0.13859999999999997,0.3169,0.5941000000000001,0.68,1.02,1.6400000000000001
TRA2A:HepG2,TRA2A,HepG2,gc,920,0.029700000000000004,0.04949999999999999,0.11880000000000002,0.5999999999999999,0.9,1.54
TRA2A:HepG2,TRA2A,HepG2,dn,921,0.02969999999999995,0.0595,0.17820000000000003,0.26,0.38,0.74
TRA2A:HepG2,TRA2A,HepG2,neg2,920,0.12880000000000003,0.2773,0.49509999999999993,0.74,1.1,1.62
U2AF1:K562,U2AF1,K562,gc,1229,0.029700000000000004,0.04949999999999999,0.1287,0.48000000000000004,0.704000000000001,1.48
U2AF1:K562,U2AF1,K562,dn,1230,0.01980000000000004,0.05940000000000001,0.14849999999999997,0.20000000000000007,0.28,0.6599999999999999
U2AF1:K562,U2AF1,K562,neg2,1229,0.12869999999999998,0.27730000000000005,0.4654,0.6400000000000001,0.98,1.62
U2AF2:HepG2,U2AF2,HepG2,gc,10699,0.029700000000000004,0.04949999999999999,0.14850000000000002,0.48,0.7000000000000001,1.96
U2AF2:HepG2,U2AF2,HepG2,dn,10702,0.01980000000000004,0.049500000000000044,0.21789999999999998,0.2,0.26,0.78
U2AF2:HepG2,U2AF2,HepG2,neg2,10699,0.14849999999999997,0.3268,0.6238,0.6600000000000001,1.02,1.7200000000000002
UCHL5:HepG2,UCHL5,HepG2,gc,2231,0.029700000000000004,0.04949999999999999,0.11880000000000002,0.48,0.66,1.64
UCHL5:HepG2,UCHL5,HepG2,dn,2233,0.01980000000000004,0.0495000000000001,0.09910000000000008,0.2,0.27999999999999997,0.72
UCHL5:HepG2,UCHL5,HepG2,neg2,2231,0.11880000000000002,0.2772,0.4654,0.62,0.9400000000000001,1.6400000000000001
XPO5:HepG2,XPO5,HepG2,gc,4557,0.029700000000000004,0.04959999999999998,0.14850000000000008,0.5,0.94,1.5
XPO5:HepG2,XPO5,HepG2,dn,4618,0.02969999999999995,0.06940000000000002,0.2575,0.23999999999999996,0.52,1.1600000000000001
XPO5:HepG2,XPO5,HepG2,neg2,4557,0.12870000000000004,0.2872,0.6238,0.68,1.1,1.72
YBX3:HepG2,YBX3,HepG2,gc,2041,0.02969999999999995,0.04949999999999999,0.14849999999999997,0.48,0.9,1.6
YBX3:HepG2,YBX3,HepG2,dn,2042,0.02479999999999999,0.0595,0.19810000000000005,0.22,0.48,1.02
YBX3:HepG2,YBX3,HepG2,neg2,2041,0.11880000000000002,0.2674,0.5148999999999999,0.6400000000000001,1.08,1.6800000000000002
YBX3:K562,YBX3,K562,gc,17979,0.02969999999999995,0.04949999999999999,0.13859999999999995,0.45999999999999996,0.64,1.52
YBX3:K562,YBX3,K562,dn,17979,0.01980000000000004,0.04949999999999999,0.2178,0.18000000000000002,0.24000000000000002,0.86
YBX3:K562,YBX3,K562,neg2,17979,0.12869999999999998,0.28720000000000007,0.6337,0.64,0.98,1.6400000000000001
YWHAG:K562,YWHAG,K562,gc,790,0.02969999999999995,0.0495000000000001,0.14849999999999997,0.48,0.68,1.5
YWHAG:K562,YWHAG,K562,dn,798,0.01980000000000004,0.05940000000000001,0.1981,0.22,0.3,0.6599999999999999
YWHAG:K562,YWHAG,K562,neg2,790,0.1386,0.307,0.5148999999999999,0.6599999999999999,1.0,1.52
ZNF622:K562,ZNF622,K562,gc,14967,0.029700000000000004,0.04949999999999999,0.13860000000000006,0.48,0.7,1.56
ZNF622:K562,ZNF622,K562,dn,14969,0.01980000000000004,0.049500000000000044,0.17830000000000001,0.2,0.26,0.7999999999999999
ZNF622:K562,ZNF622,K562,neg2,14967,0.11890000000000006,0.2872,0.6238,0.66,1.0,1.7000000000000002
ZNF800:HepG2,ZNF800,HepG2,gc,2936,0.029700000000000004,0.04949999999999999,0.12869999999999993,0.46,0.66,1.48
ZNF800:HepG2,ZNF800,HepG2,dn,2938,0.01980000000000004,0.04949999999999999,0.13859999999999995,0.2,0.26,0.52
ZNF800:HepG2,ZNF800,HepG2,neg2,2936,0.12869999999999998,0.2872,0.5842,0.6399999999999999,0.9600000000000001,1.7799999999999998
ZNF800:K562,ZNF800,K562,gc,2430,0.029700000000000004,0.04949999999999999,0.14849999999999997,0.4800000000000001,0.72,1.4
ZNF800:K562,ZNF800,K562,dn,2436,0.01980000000000004,0.05940000000000001,0.17820000000000003,0.21999999999999997,0.3,0.68
ZNF800:K562,ZNF800,K562,neg2,2430,0.11890000000000006,0.28719999999999996,0.5941000000000001,0.6599999999999999,1.0,1.7999999999999998
