dataset,protein,cell,arm,pairs,gc_gap_median,gc_gap_p90,gc_gap_max,dinuc_l1_median,dinuc_l1_p90,dinuc_l1_max
DHX30:K562,DHX30,K562,dn,824,0.02969999999999995,0.06930000000000003,0.23769999999999997,0.24000000000000005,0.42000000000000004,0.74
DHX30:K562,DHX30,K562,neg2,795,0.1683,0.37629999999999997,0.6733,0.76,1.16,1.62
DROSHA:HepG2,DROSHA,HepG2,gc,2152,0.029700000000000004,0.05940000000000001,0.14849999999999997,0.52,0.7999999999999999,1.9800000000000002
DROSHA:HepG2,DROSHA,HepG2,dn,2184,0.02969999999999995,0.06939999999999996,0.19809999999999994,0.24,0.4,0.9
DROSHA:HepG2,DROSHA,HepG2,neg2,2152,0.12880000000000003,0.30700000000000005,0.5347,0.68,1.02,1.86
DROSHA:K562,DROSHA,K562,gc,3786,0.02970000000000006,0.07920000000000005,0.14850000000000008,0.52,0.8,1.58
DROSHA:K562,DROSHA,K562,dn,3916,0.02970000000000006,0.09899999999999998,0.31679999999999997,0.26,0.44000000000000006,1.08
DROSHA:K562,DROSHA,K562,neg2,3786,0.1783,0.3763,0.6139,0.76,1.1400000000000001,1.76
EFTUD2:HepG2,EFTUD2,HepG2,gc,7124,0.02970000000000006,0.08909999999999996,0.14850000000000008,0.5,0.72,1.7199999999999998
EFTUD2:HepG2,EFTUD2,HepG2,dn,7409,0.03959999999999997,0.1089,0.3762000000000001,0.24,0.42,1.0
EFTUD2:HepG2,EFTUD2,HepG2,neg2,7124,0.15839999999999999,0.3367,0.6040000000000001,0.7,1.02,1.7200000000000002
EIF3H:HepG2,EIF3H,HepG2,gc,2827,0.02969999999999995,0.04949999999999999,0.14849999999999997,0.45999999999999996,0.64,1.3
EIF3H:HepG2,EIF3H,HepG2,dn,2832,0.01980000000000004,0.04959999999999998,0.14849999999999997,0.2,0.26,0.54
EIF3H:HepG2,EIF3H,HepG2,neg2,2827,0.1189,0.2773,0.5941000000000001,0.62,0.94,1.7000000000000002
ELAC2:K562,ELAC2,K562,gc,13144,0.029700000000000004,0.04959999999999998,0.14850000000000008,0.76,1.1400000000000001,1.98
ELAC2:K562,ELAC2,K562,dn,12933,0.03959999999999997,0.09899999999999998,0.2971,0.42,0.76,1.42
ELAC2:K562,ELAC2,K562,neg2,13144,0.13859999999999995,0.30699999999999994,0.5842,0.9,1.26,1.92
ELAVL1:K562,ELAVL1,K562,gc,8821,0.029700000000000004,0.04949999999999999,0.12869999999999998,0.56,0.84,1.8199999999999998
ELAVL1:K562,ELAVL1,K562,dn,8804,0.029700000000000004,0.05940000000000001,0.1881,0.24,0.33999999999999997,0.8
ELAVL1:K562,ELAVL1,K562,neg2,8821,0.15849999999999997,0.35650000000000004,0.6436000000000001,0.76,1.12,1.82
EXOSC5:HepG2,EXOSC5,HepG2,gc,713,0.02969999999999995,0.0495000000000001,0.14849999999999997,0.5800000000000001,0.92,1.4000000000000001
EXOSC5:HepG2,EXOSC5,HepG2,dn,727,0.029700000000000004,0.06939999999999996,0.18819999999999998,0.26,0.42000000000000004,0.72
EXOSC5:HepG2,EXOSC5,HepG2,neg2,713,0.11880000000000002,0.2753200000000006,0.5446,0.72,1.08,1.7199999999999998
FASTKD2:HepG2,FASTKD2,HepG2,gc,823,0.02970000000000006,0.09899999999999998,0.14850000000000008,0.52,0.74,1.2200000000000002
FASTKD2:HepG2,FASTKD2,HepG2,dn,868,0.029700000000000004,0.07919999999999994,0.23759999999999992,0.24,0.38,0.76
FASTKD2:HepG2,FASTKD2,HepG2,neg2,823,0.14850000000000008,0.3367,0.5347000000000001,0.7,1.04,1.54
FASTKD2:K562,FASTKD2,K562,gc,508,0.03470000000000001,0.09899999999999998,0.14849999999999997,0.64,1.0,1.4800000000000002
FASTKD2:K562,FASTKD2,K562,dn,542,0.03959999999999997,0.09899999999999998,0.2476,0.30000000000000004,0.5,0.92
FASTKD2:K562,FASTKD2,K562,neg2,508,0.15850000000000003,0.3693700000000001,0.6337,0.84,1.2000000000000002,1.6
FKBP4:HepG2,FKBP4,HepG2,gc,1370,0.03959999999999997,0.09899999999999998,0.14850000000000008,0.52,0.74,1.42
FKBP4:HepG2,FKBP4,HepG2,dn,1453,0.03959999999999997,0.1089,0.2772,0.26,0.42,0.98
FKBP4:HepG2,FKBP4,HepG2,neg2,1370,0.17820000000000003,0.3565,0.6337,0.7200000000000001,1.06,1.8
FMR1:K562,FMR1,K562,gc,4432,0.02969999999999995,0.04949999999999999,0.14849999999999997,0.45999999999999996,0.64,1.38
FMR1:K562,FMR1,K562,dn,4445,0.01980000000000004,0.04959999999999998,0.17820000000000003,0.2,0.26,0.5999999999999999
FMR1:K562,FMR1,K562,neg2,4432,0.15849999999999997,0.35650000000000004,0.6634,0.6799999999999999,1.08,1.6199999999999999
FXR1:K562,FXR1,K562,gc,1423,0.029700000000000004,0.04949999999999999,0.13859999999999995,0.45999999999999996,0.64,1.1400000000000001
FXR1:K562,FXR1,K562,dn,1425,0.01980000000000004,0.04959999999999998,0.13870000000000005,0.2,0.26,0.52
FXR1:K562,FXR1,K562,neg2,1423,0.10899999999999999,0.25749999999999995,0.46540000000000004,0.6000000000000001,0.9000000000000001,1.44
FXR2:K562,FXR2,K562,gc,4712,0.02969999999999995,0.04949999999999999,0.14850000000000008,0.46,0.66,1.28
FXR2:K562,FXR2,K562,dn,4745,0.01980000000000004,0.05940000000000001,0.18809999999999993,0.2,0.28,0.6799999999999999
FXR2:K562,FXR2,K562,neg2,4712,0.16840000000000005,0.3763,0.6733,0.72,1.12,1.76
G3BP1:HepG2,G3BP1,HepG2,gc,6478,0.02969999999999995,0.04949999999999999,0.14849999999999997,0.46,0.66,1.3800000000000001
G3BP1:HepG2,G3BP1,HepG2,dn,6482,0.01980000000000004,0.0495000000000001,0.12869999999999993,0.2,0.26,0.74
G3BP1:HepG2,G3BP1,HepG2,neg2,6478,0.11889999999999995,0.26739999999999997,0.6040000000000001,0.62,0.9200000000000002,1.6800000000000002
GARS:K562,GARS,K562,gc,557,0.029700000000000004,0.04949999999999999,0.14850000000000008,0.46,0.6599999999999999,1.5
