dataset,protein,cell,pairs,auroc_gc,auroc_dn,cost,composition_auroc_gc,composition_auroc_dn,delta_auroc_gc,delta_auroc_dn,delta_p_gc,delta_p_dn,helps_gc,helps_dn,contrast,total_gain,dominant,dominant_frac,frac_exon_nc,frac_intron,frac_utr5,frac_utr3,frac_cds
NONO:K562,NONO,K562,11164,0.838087938068324,0.7180748359608742,-0.1200131021074498,0.8139088590405692,0.6615615705235588,0.0276667057996341,0.0576508980998442,1.4720901087852763e-87,1.36012093685465e-97,True,True,0.029984192300210103,0.0853176038994783,intron,0.7890541024722322,0.09906843425295593,0.7890541024722322,0.07103188821211036,0.02678251522751702,0.014063059835184522
PCBP1:HepG2,PCBP1,HepG2,929,0.8198451753740553,0.617363060208239,-0.2024821151658163,0.8440294261802161,0.6366478044363967,0.0025421735467956,0.0022928927116341,0.195694752416378,0.6355076658265106,False,False,-0.0002492808351615,0.0048350662584297,utr3,0.5618945102260495,0.0193756727664155,0.10333692142088267,0.1603875134553283,0.5618945102260495,0.155005382131324
PCBP2:HepG2,PCBP2,HepG2,8589,0.9521573954593844,0.8457948225760736,-0.1063625728833107,0.9500497899436554,0.8197999204211439,0.0079272563236671,0.0305878820584345,6.836559035673703e-36,4.095195020089656e-62,True,True,0.0226606257347674,0.038515138382101605,intron,0.5447665618814763,0.05320759110490162,0.5447665618814763,0.06543252998020724,0.27383863080684595,0.06275468622656886
PHF6:K562,PHF6,K562,676,0.7642020587514442,0.6031344133326432,-0.161067645418801,0.7941817513392389,0.6082397391439367,0.0081010818948916,0.0164277211324465,0.0286075254951624,0.0383179229275076,True,True,0.008326639237554901,0.0245288030273381,intron,0.5680473372781065,0.3032544378698225,0.5680473372781065,0.05473372781065089,0.03254437869822485,0.04142011834319527
PPIL4:K562,PPIL4,K562,658,0.6155754289040197,0.595941337521098,-0.0196340913829217,0.697362829242154,0.5247339855991858,-0.0030579909646066,0.0623375187954342,0.0104045729537632,1.5878784861843932e-05,False,True,0.0653955097600408,0.0592795278308276,intron,0.6200607902735562,0.24772036474164133,0.6200607902735562,0.00303951367781155,0.034954407294832825,0.09422492401215805
PRPF4:HepG2,PRPF4,HepG2,8867,0.8892080604358313,0.776663246481907,-0.1125448139539243,0.8850121240177373,0.764109674743183,0.005705252522557,0.0161323383457857,4.058262242350483e-20,5.681510794743871e-26,True,True,0.010427085823228701,0.0218375908683427,intron,0.5724596819668434,0.12924326153152138,0.5724596819668434,0.14187436562535244,0.08604939663922409,0.07037329423705875
PTBP1:HepG2,PTBP1,HepG2,8349,0.9695237846847208,0.8573129473880324,-0.1122108372966883,0.966475731338343,0.8173172064055021,0.004022907648676,0.0425595986618885,4.022041624660706e-19,2.800020301950316e-92,True,True,0.0385366910132125,0.0465825063105645,intron,0.8581866091747514,0.07018804647263145,0.8581866091747514,0.013414780213199185,0.054138220146125286,0.00407234399329261
PTBP1:K562,PTBP1,K562,7785,0.9620038040646814,0.8371070154444764,-0.124896788620205,0.9610079657658928,0.8022223238087973,0.0027224761152836,0.0383497095038593,7.666472683451112e-12,6.8000090675361364e-71,True,True,0.035627233388575694,0.0410721856191429,intron,0.8346820809248555,0.08914579319203597,0.8346820809248555,0.012845215157353885,0.057803468208092484,0.005523442517662171
PUM1:K562,PUM1,K562,2651,0.7738204311704329,0.7036061330248816,-0.0702142981455512,0.7380557588355162,0.5862924425375698,0.0374855520240258,0.1135758087373127,1.0580242536120854e-20,2.0894051834766085e-44,True,True,0.0760902567132869,0.1510613607613385,cds,0.5428140324405885,0.023010184835910975,0.01999245567710298,0.08110147114296491,0.33308185590343264,0.5428140324405885
QKI:HepG2,QKI,HepG2,9988,0.9144485196412708,0.8695394693993294,-0.0449090502419414,0.7988913889298315,0.6206100995890785,0.1151274200245742,0.2496160324488652,0.0,0.0,True,True,0.134488612424291,0.3647434524734394,intron,0.8702442931517821,0.07008410092110533,0.8702442931517821,0.005206247496996396,0.05036043251902283,0.004104925911093312
QKI:K562,QKI,K562,2189,0.9580230151129416,0.9153356382811102,-0.0426873768318314,0.8665848867244149,0.6778184706496894,0.0902736198539104,0.2376782788480381,4.105124711911801e-85,2.481139536320781e-196,True,True,0.1474046589941277,0.3279518987019485,intron,0.8090452261306532,0.09730470534490634,0.8090452261306532,0.00548195523069895,0.08268615806304248,0.00548195523069895
RBFOX2:K562,RBFOX2,K562,3484,0.840045472759843,0.7185950567055259,-0.121450416054317,0.8076928019972556,0.6338253403094685,0.035918257120298,0.088472588338497,2.703260447919031e-35,1.887940888090692e-48,True,True,0.052554331218198996,0.124390845458795,intron,0.631171067738232,0.21699196326061998,0.631171067738232,0.03444316877152698,0.08639494833524684,0.030998851894374284
RBM15:HepG2,RBM15,HepG2,1493,0.7162220301123932,0.6327902222222223,-0.0834318078901709,0.6967496003901215,0.5934293333333334,0.0307947469974865,0.0428324444444443,8.085744978774324e-09,1.803528557910009e-07,True,True,0.012037697446957797,0.0736271914419308,cds,0.43000669792364365,0.07166778298727394,0.06630944407233758,0.1480241125251172,0.2839919624916276,0.43000669792364365
RPS3:HepG2,RPS3,HepG2,5647,0.7160058000648445,0.6804001653829993,-0.0356056346818451,0.6400096347883973,0.5543967125318356,0.0745177063069763,0.1236367554094646,4.1317816445314495e-67,1.1399112006261632e-92,True,True,0.04911904910248831,0.1981544617164409,cds,0.5749955728705507,0.002656277669559058,0.0017708517797060386,0.14822029396139544,0.27235700371878874,0.5749955728705507
