dataset,protein,cell,gain2_gc,comp2_gc,gain3_gc,comp3_gc,published_gc,gain2_dn,comp2_dn,gain3_dn,comp3_dn,published_dn,gain2_neg2,comp2_neg2,gain3_neg2,comp3_neg2,published_neg2
LARP4:K562,LARP4,K562,0.0023904813412654047,0.7424391563007031,0.00829637641968628,0.7388101676581937,0.0023904813412654,0.009507842076798334,0.6010870740941049,0.0011952406706327023,0.5772687939426717,0.0095078420767983,0.011114115738237063,0.6963872363439696,-0.002233639805300114,0.68644672796106,0.011114115738237
DDX6:HepG2,DDX6,HepG2,0.013161182840483177,0.7645439400249896,0.002182423990004234,0.8095251978342357,0.0131611828404831,0.06236191056124485,0.6224218161769849,-0.0020571983427212226,0.7101242959238673,0.0623619105612448,0.010403998334027387,0.6960099958350687,-0.0018658892128279314,0.7325281132861308,0.0104039983340273
BCCIP:HepG2,BCCIP,HepG2,0.0004422271665676103,0.9123388289271844,-0.00044913696604531594,0.8970163485855641,0.0004422271665676,0.013303685447867752,0.6828318779021139,-0.0021306549268382824,0.6583895828528746,0.0133036854478677,-0.0021593123367560363,0.8674009480244884,0.0049543262254531095,0.8483437210652146,-0.002159312336756
PHF6:K562,PHF6,K562,0.00810108189489167,0.7941817513392389,-0.0018972549980744713,0.7939629214663353,0.0081010818948916,0.021230785156047816,0.612239532115315,0.0005424149888721974,0.640209098907924,0.0212307851560478,0.006890952697734654,0.7641604810755926,0.0008665662966981236,0.7783712930219531,0.0068909526977346
YWHAG:K562,YWHAG,K562,0.013440153821502987,0.72081236981253,-0.0013491427655825117,0.7197548469796508,0.0134401538215029,0.015141236550021753,0.5943477113837224,0.0008150074434207788,0.6244747206361768,0.0151412365500217,0.005334081076750596,0.7288799871815413,0.0017481172888959007,0.7483816696042301,0.0053340810767505
FASTKD2:HepG2,FASTKD2,HepG2,0.0015664470294346478,0.8015262892922052,0.00241241700857342,0.8059835028472131,0.0015664470294346,0.009022807874450423,0.6071388753212004,0.00140691031875817,0.6364663190978784,0.0090228078744504,-6.20082707222247e-05,0.7528143634777192,0.0032126189783695525,0.745578588839397,-6.20082707222247e-05
PCBP1:HepG2,PCBP1,HepG2,0.002552601788327502,0.8440294261802161,-0.0012154694852274384,0.84366212033959,0.0025526017883275,0.006045722046174817,0.6377161611588954,0.0011939791760975371,0.6537799909461296,0.0060457220461748,0.00015178884896538403,0.9031610317470434,0.0010625219427583543,0.902140222770413,0.0001517888489653
MTPAP:K562,MTPAP,K562,0.0179140274965105,0.7266875817399169,-0.0006052094567856603,0.744727479009491,0.0179140274965105,0.053391241626445374,0.5741753908511377,-0.0007613678702759197,0.6312046579002788,0.0533912416264453,-0.0006681443433175227,0.7427678763096707,0.005703797387598741,0.7384529570344393,-0.0006681443433175
MBNL1:K562,MBNL1,K562,0.03381929188095689,0.7743344023299076,-0.0007477364488550631,0.8192280497967223,0.0338192918809568,0.07129963649048576,0.6314247468860829,-0.003081386817865961,0.7243688417252443,0.0712996364904857,0.032816230791029355,0.7918108128582612,-0.0015207247852888628,0.8344865028660893,0.0328162307910293
LSM11:K562,LSM11,K562,0.03432080613371602,0.7270613607271345,0.0007276861591906103,0.7602716694994314,0.034320806133716,0.0896536991869693,0.6003504895084613,0.004290763508263851,0.6762813308561839,0.0896536991869693,0.05449484153283124,0.747241144042199,0.006551474599097107,0.7931531974794239,0.0544948415328312
RBM15:HepG2,RBM15,HepG2,0.030791606644806957,0.6967496003901215,0.0030914529021121018,0.7234708613404192,0.0307916066448069,0.04214088888888878,0.5977777777777779,0.0021204444444443693,0.631012888888889,0.0421408888888887,0.0028222798152934825,0.7963413994039611,-0.0008761583975946952,0.7972592796300126,0.0028222798152934
TIA1:HepG2,TIA1,HepG2,0.0036792831837123563,0.8412251655075312,-0.00048269893936669916,0.844192275412025,0.0036792831837123,0.04503082683351156,0.5946673642329787,1.0035320986423457e-06,0.6330835764947359,0.0450308268335115,0.005062484926111499,0.8871337484165099,-0.0004014128393903249,0.8947970540311716,0.0050624849261114
YBX3:HepG2,YBX3,HepG2,-0.007394229178854461,0.6452402380307085,-0.014535678560120169,0.6698453386133024,-0.0073942291788544,0.032923685848887496,0.571895195987111,-0.01035718088601656,0.6340939199436707,0.0329236858488874,-0.009873775740389168,0.7527784772765845,0.0018419557330482395,0.761813014486707,-0.0098737757403891
UCHL5:HepG2,UCHL5,HepG2,0.04999978904483726,0.6910033248542752,0.0076182941120808145,0.7244648318657215,0.0499997890448372,0.12013342989144837,0.5655269881067864,0.01711894356704946,0.6580198219557671,0.1201334298914483,0.010573474578195019,0.7841769966052292,-0.00042733488690072097,0.7937348727568685,0.010573474578195
