dataset,protein,cell,supplied_2s_n1,supplied_cf_n1,comp_n1,n_n1,supplied_2s_n2,supplied_cf_n2,comp_n2,n_n2,chrom_2s_n1,chrom_cf_n1,chrom_comp_n1,chrom_2s_n2,chrom_cf_n2,chrom_comp_n2,chrom_blocked,chrom_neighbours,chrom_cross_fold,supplied_neighbours,supplied_cross_fold
PUS1:K562,PUS1,K562,0.008019872422749375,0.009169919447977515,0.7270977393779026,1812,-0.003118771593838443,-0.006097442119985086,0.6574821279768431,1812,0.01043935694828202,0.013100058964275463,0.7222258770326837,-0.0008881189421517943,0.00018274052307631905,0.641452129292575,1,428,0,428,0
RBFOX2:HepG2,RBFOX2,HepG2,0.050331955784232885,0.050650587168818206,0.8905989368209147,39350,0.08821521286312184,0.08881714063380908,0.7935619987347163,39354,0.05078939424648643,0.05116234155638877,0.8903076984769488,0.08795229932975934,0.08874789196336519,0.7931700820463733,1,19698,0,19698,56
RBM15:K562,RBM15,K562,0.04962085030363794,0.050083137355299345,0.862925253367396,39638,0.024605813204922167,0.025277064274797145,0.7924362357863409,39646,0.04909777037760721,0.04973728575358494,0.8625264170803357,0.023136211355070935,0.02453266419668987,0.7915645400451108,1,20578,0,20578,136
RBM22:HepG2,RBM22,HepG2,0.042494073950728684,0.04304964840389225,0.8241608530262372,39706,0.05525350543032226,0.05616505143771733,0.6950478745206805,39714,0.04217762168531147,0.04313395059526237,0.8237944415574532,0.053641881599785,0.05598057282455693,0.6937546576316477,1,18314,0,18314,81
RBM22:K562,RBM22,K562,0.17441089465475978,0.1752501846591048,0.65527367788732,39203,0.10095000811006904,0.10166699005964008,0.7377866346748619,39204,0.175513133789845,0.17670538413682324,0.654016607703649,0.1009670313954355,0.10215125971635042,0.736827592069636,1,21489,0,21489,34
RBM5:HepG2,RBM5,HepG2,0.01640049842589064,0.016802683801318663,0.837390041563542,30647,0.009658562822250527,0.010137507947304614,0.7368208732037866,30656,0.015551393564638638,0.01623325230542505,0.8370569334225608,0.009762339160721,0.010753006934516862,0.7362193815961947,1,13753,0,13753,36
RPS11:K562,RPS11,K562,0.025293758839577185,0.028539685093205258,0.8192380479979265,2676,0.010173815728719116,0.012459011261631292,0.6888819200114483,2675,0.027061115691492388,0.029715502467820065,0.8212143149202008,0.006885772645404464,0.006397205890080304,0.6898020354339468,1,1084,0,1084,6
SAFB:HepG2,SAFB,HepG2,0.020582030073570512,0.021475784824104727,0.7430138733525506,21125,0.015595216684222701,0.017752837828787893,0.7222379119726016,21130,0.019827116407807432,0.02198888733525517,0.7412935794289319,0.011939520275292992,0.017446573383751662,0.7166373803437536,1,8793,0,8793,16
SAFB:K562,SAFB,K562,0.02617844030112071,0.0281415896154531,0.6771702675595137,25836,0.01330648492937736,0.014553827816368381,0.7528102997791325,25836,0.026667375941247906,0.028871023031624587,0.6766392524490408,0.012089548085185031,0.014049419491474424,0.7512950133778199,1,11531,0,11531,27
SBDS:K562,SBDS,K562,-0.0001818422270711828,0.0007714518724238895,0.8478366285349026,852,0.0018184222707134934,-0.0013390200357071835,0.7141440190438405,852,-0.001559434856399533,-0.0008871696532872786,0.8456986047741849,0.0015704555974341838,-0.002986620820384034,0.7112786263748375,1,340,0,340,2
SDAD1:HepG2,SDAD1,HepG2,0.0717116818513106,0.07254953917937845,0.7946855466173297,33169,0.03324303046895283,0.03425752281483685,0.7224209631116685,33173,0.07165946869747453,0.07343432326578936,0.7938925654787888,0.03138465993822115,0.035047502947363585,0.7186314444130608,1,17187,0,17187,27
SDAD1:K562,SDAD1,K562,0.012660515186466825,0.013910034602076071,0.8919071991541715,4080,0.002495915032679763,0.004001585928489093,0.8173945117262591,4080,0.016411476355247978,0.01749086889657836,0.8915736735870818,0.001291330257593315,0.002331074586697346,0.8165220107650903,1,1828,0,1828,2
SERBP1:K562,SERBP1,K562,0.00944153437291606,0.012012004463971548,0.8739296689891383,2185,-0.0005269966386159952,-0.0001868366461230675,0.8280977180794198,2185,0.010281042531728679,0.012042166433749224,0.8707852836398124,5.9486107061523796e-05,0.0011310738666637787,0.8218022447208175,1,1168,0,1168,2
SF3A3:HepG2,SF3A3,HepG2,0.050457477659459515,0.0513407523182241,0.7562791378749665,39850,0.04617743406572783,0.04717806312681505,0.6949059191370749,39856,0.04902406972499873,0.051071227163698385,0.7549718792894858,0.044490185240934066,0.04668227739492836,0.6935871926470419,1,20259,0,20259,60
