dataset,protein,cell,donor,same_cell,n,n_pathogenic,auroc_matched,auroc_mismatched,auroc_conservation,auroc_block_prevalence,n_common,auroc_matched_common,auroc_conservation_common
RPS3:K562,RPS3,K562,FASTKD2:K562,True,342,130,0.7579462989840349,0.5228955007256895,0.890021770682148,0.815982794451694,292.0,0.7632303900246484,0.9038470832729206
SAFB2:K562,SAFB2,K562,FKBP4:HepG2,False,165,95,0.8882706766917293,0.8082706766917293,0.6669172932330827,0.5350388382303277,157.0,0.8807835190813914,0.6512158054711247
SLTM:K562,SLTM,K562,FMR1:K562,True,110,24,0.3691860465116279,0.6661821705426356,0.8406007751937985,0.903452685421995,91.0,0.3663682864450128,0.8395140664961636
SMNDC1:K562,SMNDC1,K562,FXR1:K562,True,155,32,0.6567581300813008,0.7530487804878048,0.9466463414634146,0.8412642045454546,120.0,0.6402698863636364,0.9502840909090908
SND1:K562,SND1,K562,FXR2:K562,True,576,234,0.795921427500375,0.7418403558754436,0.8850777227970211,0.8263603779732812,499.0,0.8005376344086022,0.8888481590094494
SRSF1:HepG2,SRSF1,HepG2,G3BP1:HepG2,True,268,90,0.8327715355805244,0.8773408239700374,0.9035892634207241,0.8159917510311212,211.0,0.817960254968129,0.9119328833895762
SRSF1:K562,SRSF1,K562,GARS:K562,True,539,123,0.7846701063164478,0.6896106941838649,0.8590427611006879,0.7871081504702195,439.0,0.7805903866248693,0.8492163009404389
SUB1:HepG2,SUB1,HepG2,GRSF1:HepG2,True,268,42,0.6255794353139486,0.5924989464812473,0.9712389380530974,0.920164609053498,171.0,0.6265432098765431,0.9681069958847737
TIA1:HepG2,TIA1,HepG2,GRWD1:K562,False,91,7,0.5714285714285714,0.7925170068027211,0.663265306122449,0.9077380952380952,62.0,0.5773809523809523,0.613095238095238
TIA1:K562,TIA1,K562,GTF2F1:HepG2,False,207,12,0.7307692307692307,0.7683760683760684,0.879059829059829,0.783177570093458,117.0,0.7663551401869159,0.8598130841121496
TRA2A:HepG2,TRA2A,HepG2,HLTF:HepG2,True,91,25,0.769090909090909,0.8581818181818182,0.8266666666666667,0.7224880382775121,60.0,0.7523923444976077,0.7655502392344498
U2AF1:K562,U2AF1,K562,HNRNPC:K562,True,140,44,0.65625,0.4507575757575758,0.9074337121212122,0.867824074074074,94.0,0.6805555555555556,0.9143518518518519
U2AF2:HepG2,U2AF2,HepG2,HNRNPL:K562,False,859,278,0.7514332767864881,0.695631446649909,0.8996953899874937,0.8019309156826808,650.0,0.7522258610501857,0.9179410910474817
UCHL5:HepG2,UCHL5,HepG2,HNRNPM:HepG2,True,270,75,0.7813333333333333,0.7243760683760684,0.9419487179487179,0.8379748186086216,208.0,0.7640845070422535,0.932565087494665
XPO5:HepG2,XPO5,HepG2,HNRNPUL1:HepG2,True,133,9,0.6487455197132617,0.6093189964157706,0.9731182795698925,0.9263888888888889,98.0,0.7180555555555556,0.975
YBX3:HepG2,YBX3,HepG2,IGF2BP1:K562,False,92,28,0.6556919642857143,0.76953125,0.8900669642857143,0.7169625246548323,65.0,0.6380670611439843,0.8708086785009862
YBX3:K562,YBX3,K562,KHSRP:HepG2,False,1455,519,0.8056852428239711,0.7041082044694761,0.9017094017094016,0.8161499600302357,1239.0,0.808082593303569,0.8986589736199556
YWHAG:K562,YWHAG,K562,KHSRP:K562,True,36,6,0.48888888888888893,0.7611111111111111,0.9888888888888889,0.7291666666666665,30.0,0.5208333333333333,0.9930555555555556
ZNF622:K562,ZNF622,K562,LARP4:HepG2,False,1597,513,0.8961754529825998,0.8173054098962043,0.8959174021564777,0.7990179931650677,1383.0,0.896220200107053,0.8945663660943441
ZNF800:HepG2,ZNF800,HepG2,LARP4:K562,False,340,86,0.8524079838857352,0.6719465299395715,0.8834233656839406,0.8192284688995216,252.0,0.843450956937799,0.8641596889952153
ZNF800:K562,ZNF800,K562,LIN28B:K562,True,288,76,0.7236221449851042,0.7684955312810329,0.9450719960278052,0.7492236024844721,209.0,0.6945134575569357,0.9462732919254659
