check,value,n,ci_low,ci_high,note
"composition AUROC at order 4, neg2 arm",0.8256126529880315,94,0.8057901912079956,0.844942422805599,
"kmer gain at order 4, neg2 arm",0.08991710956770425,94,0.0751507564647716,0.10530342020573906,
"cnn gain at order 4, neg2 arm",0.0036304668848029685,94,0.002224061922305892,0.00534740417831849,
"splicebert gain at order 4, neg2 arm",0.027571937754282863,94,0.02258996864163148,0.03318049417062543,
"kmer gain positive at order 4, neg2 arm",94.0,94,,,
"cnn gain positive at order 4, neg2 arm",70.0,94,,,
"splicebert gain positive at order 4, neg2 arm",91.0,94,,,
"baseline AUROC fell from order 1 to 2, gc arm",2.0,94,,,
"baseline AUROC fell from order 2 to 3, gc arm",15.0,94,,,
"baseline AUROC fell from order 3 to 4, gc arm",52.0,94,,,
"baseline AUROC fell from order 1 to 2, dn arm",3.0,94,,,
"baseline AUROC fell from order 2 to 3, dn arm",5.0,94,,,
"baseline AUROC fell from order 3 to 4, dn arm",34.0,94,,,
"baseline AUROC fell from order 1 to 2, neg2 arm",1.0,94,,,
"baseline AUROC fell from order 2 to 3, neg2 arm",14.0,94,,,
"baseline AUROC fell from order 3 to 4, neg2 arm",64.0,94,,,
"kmer gain at order 4 positive in, gc arm",94.0,94,,,"the estimator's noise floor, not a contribution"
"kmer noise-floor gain at order 4, gc arm",0.09861910386863522,94,0.08423158668134959,0.11407707201314217,true value is zero by construction
"noise floor as a fraction of the order-2 gain, gc arm",3.719637086606188,94,,,
"kmer gain at order 4 positive in, dn arm",94.0,94,,,"the estimator's noise floor, not a contribution"
"kmer noise-floor gain at order 4, dn arm",0.14441910586051898,94,0.12571703995835934,0.16423992325833014,true value is zero by construction
"noise floor as a fraction of the order-2 gain, dn arm",2.179449259979039,94,,,
"kmer gain at order 4 positive in, neg2 arm",94.0,94,,,"the estimator's noise floor, not a contribution"
"kmer noise-floor gain at order 4, neg2 arm",0.08991710956770425,94,0.0751507564647716,0.10530342020573906,true value is zero by construction
"noise floor as a fraction of the order-2 gain, neg2 arm",7.351007196242628,94,,,
"spearman(rows, order-4 noise floor), gc arm",-0.8285548118206421,94,,,p = 6.69e-25
"spearman(rows, order-4 noise floor), dn arm",-0.9499909691868655,94,,,p = 2.74e-48
"spearman(rows, order-4 noise floor), neg2 arm",-0.8354543779788568,94,,,p = 1.19e-25
"kmer share of order-1 gain surviving order 2, gc arm",0.43057860488538724,94,0.3815115908405664,0.4755182346474493,"ratio of means, protein-clustered"
"kmer share of order-1 gain surviving order 3, gc arm",0.09345113541863277,94,0.0667607070411247,0.11931716009340271,"ratio of means, protein-clustered"
"kmer share of order-1 gain surviving order 4, gc arm",1.6015961474308387,94,1.245395791751811,2.09515794021866,"ratio of means, protein-clustered"
"cnn share of order-1 gain surviving order 2, gc arm",0.541037247965037,94,0.48220617563989326,0.5983263342479792,"ratio of means, protein-clustered"
"cnn share of order-1 gain surviving order 3, gc arm",0.32726214444748747,94,0.2770195139430861,0.37812023669839584,"ratio of means, protein-clustered"
"cnn share of order-1 gain surviving order 4, gc arm",0.22750570174136986,94,0.18184775994575034,0.2758296928596389,"ratio of means, protein-clustered"
"splicebert share of order-1 gain surviving order 2, gc arm",0.7026361399729167,94,0.6626582089682087,0.7386709975858494,"ratio of means, protein-clustered"
"splicebert share of order-1 gain surviving order 3, gc arm",0.5272549924858733,94,0.4884318271403199,0.5637755946673485,"ratio of means, protein-clustered"
"splicebert share of order-1 gain surviving order 4, gc arm",0.4322451775837556,94,0.3923558544226786,0.46929134925501614,"ratio of means, protein-clustered"
"kmer share of order-1 gain surviving order 2, dn arm",0.656115424891427,94,0.618162366685815,0.6877443418107553,"ratio of means, protein-clustered"
"kmer share of order-1 gain surviving order 3, dn arm",0.12323141336878769,94,0.09347642537326148,0.15240530611359182,"ratio of means, protein-clustered"
"kmer share of order-1 gain surviving order 4, dn arm",1.4299702772404534,94,1.1054976364717366,1.858603253198441,"ratio of means, protein-clustered"
