table,producing_script,run_sh_stage,status,sha256,bytes,invocation
panel_summary.csv,scripts/table_s1.py,s13b_local_analysis,raw-reproducible,886dc87ebb29cb1e,4219,"""$PY"" scripts/table_s1.py || die ""supplementary table s1"""
partition_sensitivity.csv,scripts/partition_sensitivity.py,s13b_local_analysis,frozen-only,50a89aac3d94bde0,525,"#   ""$PY"" scripts/partition_sensitivity.py --store ../rbp-store   # B6"
partition_sensitivity_per_partition.csv,scripts/partition_sensitivity.py,s13b_local_analysis,frozen-only,1ca3bdf97d335971,445,"#   ""$PY"" scripts/partition_sensitivity.py --store ../rbp-store   # B6"
peak_thresholds.csv,scripts/peak_thresholds.py,s13b_local_analysis,raw-reproducible,58a6003ccaf241a7,417,"# path; its table is committed. Regenerate with: ""$PY"" scripts/peak_thresholds.py"
peak_thresholds_per_dataset.csv,scripts/peak_thresholds.py,s13b_local_analysis,raw-reproducible,d33401bbe0f918bb,6420,"# path; its table is committed. Regenerate with: ""$PY"" scripts/peak_thresholds.py"
positional_signal.csv,scripts/positional_signal.py,s13b_local_analysis,frozen-only,787a6be4cddc2988,481,"#   ""$PY"" scripts/positional_signal.py --store ../rbp-store       # B14"
positional_signal_per_dataset.csv,scripts/positional_signal.py,s13b_local_analysis,frozen-only,9d3690bc319a26a5,9697,"#   ""$PY"" scripts/positional_signal.py --store ../rbp-store       # B14"
positional_signal_profile.csv,scripts/positional_signal.py,s13b_local_analysis,frozen-only,6da645acd3758008,338631,"#   ""$PY"" scripts/positional_signal.py --store ../rbp-store       # B14"
positive_set_overlap.csv,scripts/verify.py,s14_verify,raw-reproducible,1798b7d64fa7ae77,4755,"""$PY"" scripts/verify.py --local results/tables || die ""THE SCIENCE DID NOT REPRODUCE (local tables) "
protocol_baseline_slopes.csv,scripts/protocol_identification.py,s13b_local_analysis,raw-reproducible,eda00e0221247fe3,753,"""$PY"" scripts/protocol_identification.py || die ""protocol identification"""
protocol_identification.csv,scripts/protocol_identification.py,s13b_local_analysis,raw-reproducible,3b4311817e92bb84,5591,"""$PY"" scripts/protocol_identification.py || die ""protocol identification"""
protocol_or_baseline.csv,scripts/protocol_or_baseline.py,s13b_local_analysis,raw-reproducible,2dc04a1df822b797,3221,"""$PY"" scripts/protocol_or_baseline.py || die ""protocol or baseline"""
r1_robustness.csv,scripts/r1_robustness.py,s13b_local_analysis,raw-reproducible,79717da9fb887f31,2138,"""$PY"" scripts/r1_robustness.py     || die ""replication and efficiency"""
recommendation_works.csv,scripts/recommendation_works.py,s13b_local_analysis,raw-reproducible,af573ac92beec95d,1536,"""$PY"" scripts/recommendation_works.py || die ""recommendation test"""
recompute.csv,scripts/recompute.py,s13b_local_analysis,raw-reproducible,256d120f4a783475,21350,"""$PY"" scripts/recompute.py         || die ""recompute from per-example evidence"""
region_annotation.csv,scripts/region_annotation.py,s13b_local_analysis,frozen-only,cfa48d368037beb8,3827,"#   ""$PY"" scripts/region_annotation.py --store ../rbp-store   # B17, needs the GTF index"
region_annotation_per_dataset.csv,scripts/region_annotation.py,s13b_local_analysis,frozen-only,b6b4a33271853e41,109306,"#   ""$PY"" scripts/region_annotation.py --store ../rbp-store   # B17, needs the GTF index"
region_asymmetry.csv,scripts/region_asymmetry.py,s13b_local_analysis,evidence-recomputable,2044c9bfd9dfad1c,1740,"""$PY"" scripts/region_asymmetry.py --from-cache || die ""region asymmetry"""
region_asymmetry_per_dataset.csv,scripts/region_asymmetry.py,s13b_local_analysis,evidence-recomputable,70f35837fce09e02,25279,"""$PY"" scripts/region_asymmetry.py --from-cache || die ""region asymmetry"""
region_heterogeneity.csv,scripts/region_heterogeneity.py,s13b_local_analysis,evidence-recomputable,2cd5a454a4881890,1250,"""$PY"" scripts/region_heterogeneity.py --from-cache || die ""region heterogeneity"""
region_heterogeneity_per_dataset.csv,scripts/region_heterogeneity.py,s13b_local_analysis,evidence-recomputable,6d17a8c85201aad8,35539,"""$PY"" scripts/region_heterogeneity.py --from-cache || die ""region heterogeneity"""
region_matched_neural.csv,scripts/region_matched_neural.py,s13b_local_analysis,frozen-only,55cad69a671bd47e,2710,"#   ""$PY"" scripts/region_matched_neural.py --store ../rbp-store # F3, needs the neg2_rm scores"
region_matched_neural_per_dataset.csv,scripts/region_matched_neural.py,s13b_local_analysis,frozen-only,19b6f98ba71c3da6,35956,"#   ""$PY"" scripts/region_matched_neural.py --store ../rbp-store # F3, needs the neg2_rm scores"
rehearsal_binding_dinuc.csv,scripts/variant_splicebert.py,s12_clinvar,raw-reproducible,efe4547b047363f3,30369,"""$PY"" scripts/variant_splicebert.py --what tables || die ""variant tables"""
rehearsal_binding_gc.csv,scripts/scale_check.py,s13b_local_analysis,raw-reproducible,b9833c600520471b,29913,"""$PY"" scripts/scale_check.py       || die ""scale check"""
robustness.csv,scripts/r1_robustness.py,s13b_local_analysis,raw-reproducible,499e34253db41625,1847,"""$PY"" scripts/r1_robustness.py     || die ""replication and efficiency"""
robustness_leakage.csv,scripts/robustness.py,,frozen-only,d5091d7544807b90,7347,not invoked by run.sh
scale_check.csv,scripts/scale_check.py,s13b_local_analysis,raw-reproducible,23ba4a929dccbaf9,3914,"""$PY"" scripts/scale_check.py       || die ""scale check"""
scale_sweep.csv,scripts/scale_sweep.py,s13b_local_analysis,raw-reproducible,70c5c0150412c737,2432,"""$PY"" scripts/scale_sweep.py || die ""scale sweep"""
score_scale_check.csv,scripts/score_scale_check.py,s13b_local_analysis,evidence-recomputable,abeda5fa0f3545c5,2561,"""$PY"" scripts/score_scale_check.py --from-cache || die ""score scale"""
score_scale_per_dataset.csv,scripts/score_scale_check.py,s13b_local_analysis,evidence-recomputable,3413924e1b77c478,47913,"""$PY"" scripts/score_scale_check.py --from-cache || die ""score scale"""
shuffled_arm.csv,scripts/shuffled_arm.py,s13b_local_analysis,frozen-only,ee2d23a027b4a7fd,1816,"#   ""$PY"" scripts/shuffled_arm.py    --store ../rbp-store   # B5, the shuffled fourth arm"
shuffled_arm_per_dataset.csv,scripts/shuffled_arm.py,s13b_local_analysis,frozen-only,7bf724a7c3f7d4b9,9541,"#   ""$PY"" scripts/shuffled_arm.py    --store ../rbp-store   # B5, the shuffled fourth arm"
standalone_auroc.csv,scripts/standalone_auroc.py,s13b_local_analysis,evidence-recomputable,9920ef3c2dfb7269,2023,"""$PY"" scripts/standalone_auroc.py --from-cache || die ""standalone auroc"""
standalone_auroc_per_dataset.csv,scripts/standalone_auroc.py,s13b_local_analysis,evidence-recomputable,f1b01f179ae3b15c,9028,"""$PY"" scripts/standalone_auroc.py --from-cache || die ""standalone auroc"""
strand_asymmetry.csv,scripts/strand_asymmetry.py,s13b_local_analysis,evidence-recomputable,6d7dc2f176031280,1192,"""$PY"" scripts/strand_asymmetry.py --from-cache || die ""strand asymmetry"""
strand_asymmetry_per_dataset.csv,scripts/strand_asymmetry.py,s13b_local_analysis,evidence-recomputable,3e9fc8188227d12d,16579,"""$PY"" scripts/strand_asymmetry.py --from-cache || die ""strand asymmetry"""
strand_audit.csv,scripts/strand_audit.py,s13b_local_analysis,raw-reproducible,b895957bcdcd8572,2612,"# scripts/strand_audit.py is deliberately NOT here. It needs --gtf and --datasets, i.e. a"
strand_audit_summary.csv,scripts/strand_audit.py,s13b_local_analysis,raw-reproducible,d3d5f3e68a599276,461,"# scripts/strand_audit.py is deliberately NOT here. It needs --gtf and --datasets, i.e. a"
strand_contrast.csv,scripts/strand_contrast.py,s13b_local_analysis,raw-reproducible,a90d19743109a522,1730,"""$PY"" scripts/strand_contrast.py    || die ""strand contrast"""
