dataset,protein,cell,arm,model,n,fold_agreement,max_chroms_per_score_fold,max_chroms_per_table_fold,cross_fold_neighbours_score,cross_fold_neighbours_table
DROSHA:HepG2,DROSHA,HepG2,dn,splicebert,4368,1.0,5,5,0.0,0.0
DROSHA:K562,DROSHA,K562,gc,cnn,7572,1.0,5,5,0.0,0.0
DROSHA:K562,DROSHA,K562,gc,splicebert,7572,1.0,5,5,0.0,0.0
DROSHA:K562,DROSHA,K562,dn,cnn,7830,0.8005108556832695,23,5,0.16704980842911876,0.0
DROSHA:K562,DROSHA,K562,dn,splicebert,7830,0.8005108556832695,23,5,0.16704980842911876,0.0
EFTUD2:HepG2,EFTUD2,HepG2,gc,cnn,14248,1.0,5,5,0.0,0.0
EFTUD2:HepG2,EFTUD2,HepG2,gc,splicebert,14248,1.0,5,5,0.0,0.0
EFTUD2:HepG2,EFTUD2,HepG2,dn,cnn,14802,0.6989596000540468,23,5,0.21888933927847587,0.0
EFTUD2:HepG2,EFTUD2,HepG2,dn,splicebert,14802,0.6989596000540468,23,5,0.21888933927847587,0.0
EIF3H:HepG2,EIF3H,HepG2,gc,cnn,5654,1.0,5,5,0.0,0.0
EIF3H:HepG2,EIF3H,HepG2,gc,splicebert,5654,1.0,5,5,0.0,0.0
EIF3H:HepG2,EIF3H,HepG2,dn,cnn,5664,1.0,5,5,0.0,0.0
EIF3H:HepG2,EIF3H,HepG2,dn,splicebert,5664,1.0,5,5,0.0,0.0
ELAC2:K562,ELAC2,K562,gc,cnn,26288,1.0,5,5,0.0,0.0
ELAC2:K562,ELAC2,K562,gc,splicebert,26288,1.0,5,5,0.0,0.0
ELAC2:K562,ELAC2,K562,dn,cnn,25830,0.9900890437475803,11,5,0.003794037940379404,0.0
ELAC2:K562,ELAC2,K562,dn,splicebert,25830,0.9900890437475803,11,5,0.003794037940379404,0.0
ELAVL1:K562,ELAVL1,K562,gc,cnn,17642,1.0,5,5,0.0,0.0
ELAVL1:K562,ELAVL1,K562,gc,splicebert,17642,1.0,5,5,0.0,0.0
ELAVL1:K562,ELAVL1,K562,dn,cnn,17608,0.9977283053157655,9,5,0.0003975465697410268,0.0
ELAVL1:K562,ELAVL1,K562,dn,splicebert,17608,0.9977283053157655,9,5,0.0003975465697410268,0.0
EXOSC5:HepG2,EXOSC5,HepG2,gc,cnn,1426,1.0,5,5,0.0,0.0
EXOSC5:HepG2,EXOSC5,HepG2,gc,splicebert,1426,1.0,5,5,0.0,0.0
EXOSC5:HepG2,EXOSC5,HepG2,dn,cnn,1454,1.0,5,5,0.0,0.0
EXOSC5:HepG2,EXOSC5,HepG2,dn,splicebert,1454,1.0,5,5,0.0,0.0
FASTKD2:HepG2,FASTKD2,HepG2,gc,cnn,1646,1.0,5,5,0.0,0.0
FASTKD2:HepG2,FASTKD2,HepG2,gc,splicebert,1646,1.0,5,5,0.0,0.0
FASTKD2:HepG2,FASTKD2,HepG2,dn,cnn,1736,1.0,5,5,0.0,0.0
FASTKD2:HepG2,FASTKD2,HepG2,dn,splicebert,1736,1.0,5,5,0.0,0.0
FASTKD2:K562,FASTKD2,K562,gc,cnn,1016,1.0,5,5,0.0,0.0
FASTKD2:K562,FASTKD2,K562,gc,splicebert,1016,1.0,5,5,0.0,0.0
FASTKD2:K562,FASTKD2,K562,dn,cnn,1084,1.0,5,5,0.0,0.0
FASTKD2:K562,FASTKD2,K562,dn,splicebert,1084,1.0,5,5,0.0,0.0
FKBP4:HepG2,FKBP4,HepG2,gc,cnn,2740,1.0,5,5,0.0,0.0
FKBP4:HepG2,FKBP4,HepG2,gc,splicebert,2740,1.0,5,5,0.0,0.0
FKBP4:HepG2,FKBP4,HepG2,dn,cnn,2906,0.8843771507226428,19,5,0.14211975223675155,0.0
FKBP4:HepG2,FKBP4,HepG2,dn,splicebert,2906,0.8843771507226428,19,5,0.14211975223675155,0.0
FMR1:K562,FMR1,K562,gc,cnn,8864,1.0,5,5,0.0,0.0
FMR1:K562,FMR1,K562,gc,splicebert,8864,1.0,5,5,0.0,0.0
FMR1:K562,FMR1,K562,dn,cnn,8890,1.0,5,5,0.0,0.0
FMR1:K562,FMR1,K562,dn,splicebert,8890,1.0,5,5,0.0,0.0
FXR1:K562,FXR1,K562,gc,cnn,2846,1.0,5,5,0.0,0.0
FXR1:K562,FXR1,K562,gc,splicebert,2846,1.0,5,5,0.0,0.0
FXR1:K562,FXR1,K562,dn,cnn,2850,1.0,5,5,0.0,0.0
FXR1:K562,FXR1,K562,dn,splicebert,2850,1.0,5,5,0.0,0.0
FXR2:K562,FXR2,K562,gc,cnn,9424,1.0,5,5,0.0,0.0
FXR2:K562,FXR2,K562,gc,splicebert,9424,1.0,5,5,0.0,0.0
FXR2:K562,FXR2,K562,dn,cnn,9490,1.0,5,5,0.0,0.0
FXR2:K562,FXR2,K562,dn,splicebert,9490,1.0,5,5,0.0,0.0
