model,arm,slope,p,corr_full_comp,mechanical_slope,slope_net_of_mechanism
kmer,gc,-0.0646421928328196,0.019959873232376482,0.8632552248390652,-0.00032593255476561633,-0.064316260278054
kmer,dn,-0.2110434118788612,0.013358617521197486,0.6383291173286753,-0.004137261618940051,-0.20690615025992115
cnn,gc,-0.05759270263623941,0.1427605566973395,0.8289881636999684,-0.0004187694200010955,-0.057173933216238315
cnn,dn,-0.03041475853275725,0.802200378965741,0.5614689924495924,-0.005171301789533122,-0.02524345674322413
splicebert,gc,-0.3417045124465784,3.3916394337882636e-07,0.6592209227513588,-0.0009933339271499641,-0.34071117851942845
splicebert,dn,-0.5756236304769601,0.00022771895100755454,0.37915007333514655,-0.008631532279648408,-0.5669920981973117
